,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
118,chiriguana,magdalena,1953,287,32510179,260,54496335,0,0,547,87006614
119,el banco,magdalena,1953,212,39273003,407,123689809,0,0,619,162962812
120,fundacion,magdalena,1953,354,84946864,402,206359950,0,0,756,291306844
121,plato,magdalena,1953,277,50008547,584,168710737,0,0,861,218719284
122,riohacha,magdalena,1953,200,27183907,95,22867810,0,0,295,50051717
123,san juan del cesar,magdalena,1953,877,140060558,372,104388456,0,0,1249,244449014
124,valledupar,magdalena,1953,1201,244776726,660,251618347,0,0,1861,496395073
125,villanueva,magdalena,1953,638,133371436,190,62411862,0,0,828,195783298
126,pasto,nariño,1953,1589,139078677,1091,238646377,0,0,2680,377725054
127,ipiales,nariño,1953,763,90025074,249,53362663,0,0,1012,143387737
128,la cruz,nariño,1953,993,120828000,131,29472600,0,0,1124,150300600
129,la union,nariño,1953,891,84720195,324,51946320,0,0,1215,136666515
130,samaniego,nariño,1953,395,26724000,112,12893373,0,0,507,39527373
131,sandona,nariño,1953,463,37934560,116,16469192,0,0,579,54403752
132,tuquerres,nariño,1953,366,25719041,313,45899278,0,0,679,71618319
133,mocoa,putumayo,1953,156,9756123,334,47095302,0,0,490,56851425
134,cucuta,norte de santander,1953,970,251996029,319,190924619,0,0,1289,442920708
135,cachira,norte de santander,1953,381,26460000,160,26344000,0,0,541,52804000
136,chinacota,norte de santander,1953,337,36254433,114,27109443,0,0,451,63363876
137,ocaña,norte de santander,1953,1105,160221042,562,283576109,0,0,1667,443797151
138,pamplona,norte de santander,1953,842,83947900,350,88436275,0,0,1192,172384175
139,salazar,norte de santander,1953,847,77529547,209,26477729,0,0,1056,104007276
140,sardinata,norte de santander,1953,479,59286500,89,13163750,0,0,568,72450250
141,toledo,norte de santander,1953,666,57251500,214,23745640,0,0,880,80997140
142,bucaramanga,santander,1953,1359,134293588,436,146703252,0,0,1795,280996840
143,charala,santander,1953,868,74641136,405,75071563,0,0,1273,149712699
144,malaga,santander,1953,1496,104038368,29,8940000,0,0,1525,112978368
145,matanza,santander,1953,499,29988925,107,14911078,0,0,606,44900003
146,puente nacional,santander,1953,485,33174640,499,61487584,0,0,984,94662224
147,rionegro,santander,1953,240,36118000,91,14211700,0,0,331,50329700
148,san andres,santander,1953,754,54028300,278,39122550,0,0,1032,93150850
149,san gil,santander,1953,1046,99278733,242,56510250,0,0,1288,155788983
150,san vicente,santander,1953,344,38160441,189,61315315,0,0,533,99475756
151,socorro,santander,1953,996,119720033,329,115958318,0,0,1325,235678351
152,surata,santander,1953,215,13319500,91,12678250,0,0,306,25997750
153,velez,santander,1953,573,47349271,233,45174669,0,0,806,92523940
154,ibague,tolima,1953,1324,245767612,664,296248739,0,0,1988,542016351
155,armero,tolima,1953,441,113303336,205,113064860,0,0,646,226368196
156,chaparral,tolima,1953,181,21086794,55,16175685,0,0,236,37262479
157,espinal,tolima,1953,859,88348104,178,80207173,0,0,1037,168555277
158,el guamo,tolima,1953,771,64249150,135,63084187,0,0,906,127333337
159,fresno,tolima,1953,979,87151432,198,41912711,0,0,1177,129064143
160,herveo,tolima,1953,180,13269000,42,8144750,0,0,222,21413750
161,honda,tolima,1953,465,72481535,210,89383097,0,0,675,161864632
162,icononzo,tolima,1953,578,59145957,110,25582829,0,0,688,84728786
163,libano,tolima,1953,766,102420886,349,82023621,0,0,1115,184444507
164,ortega,tolima,1953,547,62684436,133,31150408,0,0,680,93834844
165,purificacion,tolima,1953,869,97547718,311,101605098,0,0,1180,199152816
166,san antonio,tolima,1953,273,35894354,41,11156366,0,0,314,47050710
167,san luis,tolima,1953,542,43809727,75,19177543,0,0,617,62987270
168,santa isabel,tolima,1953,170,27736060,79,21794567,0,0,249,49530627
169,san miguel de perdomo,tolima,1953,300,40534307,126,54395167,0,0,426,94929474
170,villahermosa,tolima,1953,452,33501774,130,17996572,0,0,582,51498346
171,melgar,tolima,1953,333,74913047,99,43535335,0,0,432,118448382
172,dolores,tolima,1953,127,19447863,72,16656786,0,0,199,36104649
173,rovira,tolima,1953,487,83773728,135,43510967,0,0,622,127284695
174,cali,valle del cauca,1953,1202,150585447,664,285549191,0,0,1866,436134638
