codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
5658,San José de La Montaña,Antioquia,0,0,0,0,0,0,0,0,0,9127,0,20745,0,0,0,0,0,0
5659,San Juan de Urabá,Antioquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5660,San Luis,Antioquia,0,0,0,0,0,0,0,0,0,1901,0,2658,0,0,0,0,0,0
5664,San Pedro,Antioquia,0,0,0,0,0,0,0,0,0,6384,5199,5249,5033,0,0,0,0,0
5665,San Pedro de Uraba,Antioquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5667,San Rafael,Antioquia,0,0,0,0,0,0,0,0,0,9495,9004,17852,7172,0,0,0,0,0
5670,San Roque,Antioquia,1546,1024.08,1047,1489.37,119,19.86,2712,2533.31,1,1186,0,3019,0,6,170.68,248.2283333,3.31,422.2183333
5674,San Vicente,Antioquia,0,0,0,0,0,0,0,0,0,3005,5513,6854,7605,0,0,0,0,0
5679,Santa Bárbara,Antioquia,1567,1921.23,512,1742.72,186,25.31,2265,3689.27,1,1071,0,533,0,6,320.205,290.4533333,4.218333333,614.8783333
5690,Santo Domingo,Antioquia,0,0,0,0,0,0,0,0,0,11111,12744,19181,0,0,0,0,0,0
5697,El Santuario,Antioquia,3068,123.15,1903,85.64,218,25.53,5189,234.31,1,1597,1638,2458,3013,5,24.63,17.128,5.106,46.862
5736,Segovia,Antioquia,0,0,0,0,0,0,0,0,0,6211,6604,7912,10417,0,0,0,0,0
5790,Tarazá,Antioquia,0,0,0,0,0,0,0,0,0,1737,0,1936,0,0,0,0,0,0
5792,Tarso,Antioquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5809,Titiribí,Antioquia,343,64.95,133,58.56,32,6.72,508,130.23,1,3171,3576,4557,4898,2,32.475,29.28,3.36,65.115
5819,Toledo,Antioquia,0,0,0,0,0,0,0,0,0,1566,3070,6293,8549,0,0,0,0,0
5842,Uramita,Antioquia,0,0,0,0,0,0,0,0,0,2531,0,4963,0,0,0,0,0,0
5847,Urrao,Antioquia,3464,9367.63,2004,10123.29,342,35.61,5810,19526.55,1,1168,0,2387,0,9,1040.847778,1124.81,3.956666667,2169.616667
5854,Valdivia,Antioquia,0,0,0,0,0,0,0,0,0,3633,4603,5657,7182,0,0,0,0,0
5856,Valparaíso,Antioquia,0,0,0,0,0,0,0,0,0,3791,3197,5220,7136,0,0,0,0,0
5858,Vegachí,Antioquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5861,Venecia,Antioquia,0,0,0,0,0,0,0,0,0,8255,9798,10989,12815,0,0,0,0,0
5873,Vigía del Fuerte,Antioquia,0,0,0,0,0,0,0,0,0,2278,0,3056,0,0,0,0,0,0
5885,Yalí,Antioquia,0,0,0,0,0,0,0,0,0,2897,0,5046,5923,0,0,0,0,0
5893,Yondó,Antioquia,0,0,0,0,0,0,0,0,0,2611,0,3700,0,0,0,0,0,0
5895,Zaragoza,Antioquia,0,0,0,0,0,0,0,0,0,1494,0,2626,3106,0,0,0,0,0
8078,Baranoa,Atlántico,0,0,0,0,0,0,0,0,0,8529,11692,12568,14452,0,0,0,0,0
8137,Campo de La Cruz,Atlántico,0,0,0,0,0,0,0,0,0,28962,0,148134,222861,0,0,0,0,0
8141,Candelaria,Atlántico,0,0,0,0,0,0,0,0,0,1347,0,1684,1790,0,0,0,0,0
8296,Galapa,Atlántico,0,0,0,0,0,0,0,0,0,12201,10973,13557,14100,0,0,0,0,0
8372,Juan de Acosta,Atlántico,0,0,0,0,0,0,0,0,0,7609,5927,7471,8474,0,0,0,0,0
8421,Luruaco,Atlántico,0,0,0,0,0,0,0,0,0,1379,0,2763,3511,0,0,0,0,0
8433,Malambo,Atlántico,0,0,0,0,0,0,0,0,0,7614,8507,11297,13379,0,0,0,0,0
8436,Manatí,Atlántico,0,0,0,0,0,0,0,0,0,4509,3951,5805,7709,0,0,0,0,0
8520,Palmar de Varela,Atlántico,0,0,0,0,0,0,0,0,0,18999,21133,28877,29761,0,0,0,0,0
8549,Piojó,Atlántico,0,0,0,0,0,0,0,0,0,5946,5567,11649,7475,0,0,0,0,0
8558,Polonuevo,Atlántico,0,0,0,0,0,0,0,0,0,850,1002,1384,1844,0,0,0,0,0
8560,Ponedera,Atlántico,0,0,0,0,0,0,0,0,0,1600,0,2774,3305,0,0,0,0,0
8573,Puerto Colombia,Atlántico,0,0,0,0,0,0,0,0,0,9313,8786,11165,12805,0,0,0,0,0
8606,Repelón,Atlántico,0,0,0,0,0,0,0,0,0,5852,6017,7646,7547,0,0,0,0,0
8634,Sabanagrande,Atlántico,0,0,0,0,0,0,0,0,0,1875,1977,2558,2871,0,0,0,0,0
