,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
169,soacha,cundinamarca,387,736927,86,322716,73,188703,546,1248346,0,0
170,sopo,cundinamarca,85,210831,70,298634,42,252836,197,762301,0,0
171,subachoque,cundinamarca,325,1145629,77,435389,12,36816,414,1617834,0,0
172,tocaima,cundinamarca,315,683740,93,646548,19,133639,427,1463927,0,0
173,ubate,cundinamarca,835,1548178,200,1399505,121,380946,1156,3328629,0,0
174,une,cundinamarca,344,612220,57,113922,53,237175,454,963317,0,0
175,utica,cundinamarca,173,283215,91,329485,9,150539,273,763239,0,0
176,vergara,cundinamarca,640,974779,62,172449,41,267295,743,1414523,0,0
177,villeta,cundinamarca,360,545853,94,317517,103,585247,557,1448617,0,0
178,viota,cundinamarca,603,1459119,66,244474,161,541253,830,2244846,0,0
179,zipaquira,cundinamarca,395,1051839,149,1340945,70,210221,614,2603005,0,0
180,quibdo,choco,324,92737,12,21214,0,0,336,113951,0,0
181,el carmen,choco,166,214098,78,135297,29,88569,273,437964,0,0
182,nelva,huila,124,4942616,1502,8799368,212,927731,2961,14669715,0,-1123
183,acevedo,huila,466,469114,243,321240,29,113458,738,903812,0,0
184,algeciras,huila,301,514260,230,566346,26,94045,557,1174651,0,0
185,baraya,huila,229,482687,576,1523723,25,155552,830,2161962,0,0
186,campoalegre,huila,269,803716,141,989098,42,150258,452,1943072,0,0
187,garzon,huila,617,1463925,804,3162512,107,638874,1528,5265311,0,0
188,gigante,huila,470,717591,285,1045208,51,255332,806,2018131,0,0
189,guadalupe,huila,240,212091,215,551024,16,53105,471,816220,0,0
190,la plata,huila,418,7521,271,1049060,40,183766,729,1984926,-744579,0
191,palermo ,huila,338,708352,460,1478825,36,134731,834,2321908,0,0
192,pitalito,huila,667,935385,376,1012408,24,111358,1067,2059151,0,0
193,san agustio,huila,321,394695,145,330706,10,45078,476,770479,0,0
194,tello,huila,266,694639,328,856262,30,155959,624,1706860,0,0
195,tesalia,huila,258,44859,209,622877,8,31674,475,1103141,-403731,0
196,timana,huila,652,850556,230,466626,9,44718,891,1361900,0,0
197,yaguara,huila,341,970419,235,1259705,24,115459,600,2345583,0,0
198,santa marta,magdalena,564,2114454,329,3465180,52,259929,945,5839563,0,0
199,aguachica,magdalena,580,1516123,296,1591696,133,563851,1009,3671670,0,0
200,cienaga,magdalena,279,720993,156,910342,9,47628,444,1678963,0,0
201,codazzi,magdalena,227,1332636,147,2015486,13,77508,387,3425630,0,0
202,chiriguana,magdalena,133,279053,167,916772,1,4125,301,1199950,0,0
203,el banco,magdalena,167,585888,390,2218108,52,222463,609,3026459,0,0
204,fundacion,magdalena,434,1757158,391,3912371,51,243551,876,5913080,0,0
205,guamal,magdalena,292,582450,438,140854,20,76833,750,2067823,-1267686,0
206,pivijay,magdalena,318,890215,249,1946368,14,54123,581,2890706,0,0
207,plato,magdalena,423,1109561,585,3216269,32,172227,1040,4498057,0,0
208,valledupar,magdalena,869,3359615,660,4770861,50,282032,1579,8412508,0,0
209,villavicencio,meta,897,2924356,1049,6827668,101,856586,2047,10608610,0,0
210,acacias,meta,274,622490,502,1005502,53,187486,829,1815478,0,0
211,granada,meta,254,395815,789,1370578,21,94935,1064,1861328,0,0
212,guamal,meta,330,555645,830,905793,51,257683,1211,1719121,0,0
213,puerto lopez,meta,319,446726,217,842674,0,0,536,1289400,0,0
214,restrepo,meta,604,1004248,1009,1473062,22,82683,1635,2559993,0,0
215,san martin,meta,239,596782,883,2081517,27,85146,1149,2763445,0,0
216,pasto,nariño,1847,3069289,951,3445074,222,1064416,3020,7578779,0,0
217,contadero,nariño,630,949893,132,197338,24,120171,786,1267402,0,0
218,el tambo,nariño,312,369090,345,644921,25,69471,682,1083482,0,0
219,ipiales,nariño,1009,2724273,287,1446488,51,313178,1347,4483939,0,0
220,la cruz,nariño,895,1511524,158,509508,11,62222,1064,2083254,0,0
221,la union,nariño,1014,1459955,361,1010420,87,238631,1462,2709006,0,0
222,samaniego,nariño,952,1151849,324,599782,17,65340,1293,1816971,0,0
223,sandona,nariño,802,907011,242,402635,32,117054,1076,1426700,0,0
224,tumaco,nariño,1153,543152,239,447747,2,5231,1394,996130,0,0
225,tâquerres,nariño,1121,1893854,438,1048974,62,336213,1621,3279041,0,0
226,cucuta,norte de santander,593,2694273,496,5015011,72,664914,1161,8374198,0,0
227,arbolodas,norte de santander,326,400120,100,179899,46,123760,472,703779,0,0
228,cachira,norte de santander,738,864265,184,283733,19,75554,941,1223552,0,0
229,convencion,norte de santander,291,398573,131,613080,58,307085,480,1318738,0,0
230,chinacota,norte de santander,253,443204,160,645824,39,203761,452,1292789,0,0
231,durania,norte de santander,368,1370689,72,305580,33,137249,473,1813518,0,0
232,gramalote,norte de santander,468,717107,140,336584,50,337718,658,1391409,0,0
233,ocaña,norte de santander,760,1574454,197,1649893,27,85650,984,3309997,0,0
234,pamplona,norte de santander,1089,2433473,499,1803467,55,201721,1643,4438661,0,0
235,salazar,norte de santander,328,528459,113,365155,30,206371,471,1099985,0,0
236,sardinata,norte de santander,606,919780,152,349692,12,44338,770,1313810,0,0
237,toledo,norte de santander,854,883735,228,487533,24,98666,1106,1469934,0,0
238,bucaramanga,santander,325,8154852,1374,9352350,137,1238228,4764,18745430,0,-2928
239,barichara,santander,503,549735,91,292239,35,18309,629,1025064,-164781,0
240,barrancabormeja,santander,379,610873,277,1832666,3,20000,659,2463539,0,0
241,cimitarra,santander,257,444397,371,1249072,20,96741,648,1790210,0,0
242,concepcion,santander,964,1086692,235,756164,35,314262,1234,2157118,0,0
243,charala,santander,912,1367313,237,815440,26,151159,1175,2333917,-5,0
244,gambita,santander,466,68438,213,529048,2,5431,681,1218859,-615942,0
245,güepsa,santander,624,828543,119,464981,76,302451,819,1595975,0,0
246,malaga,santander,1923,1846249,190,419000,68,351541,2181,2616790,0,0
247,matanza,santander,489,443767,88,166531,16,81513,593,691811,0,0
248,oiba,santander,267,489075,121,528715,23,99498,411,1117288,0,0
249,onzaga,santander,466,493138,127,188255,4,27000,597,708393,0,0
250,piedecuesta,santander,580,535012,88,333266,16,95142,684,963420,0,0
251,puente nacional,santander,706,724578,479,749369,90,282984,1275,1756931,0,0
252,puerto wilches,santander,612,1586235,247,1104966,2,11838,861,2703039,0,0
253,rionegro,santander,581,1383400,299,897604,39,277147,919,2558151,0,0
254,san audrea,santander,1069,1122841,545,625739,16,102757,163,1851337,0,1467
255,san gil,santander,1415,2110599,237,1095173,42,328228,1694,3534000,0,0
256,san vicente,santander,401,790440,253,1167490,38,234494,692,2192424,0,0
257,socorro,santander,591,1521750,328,3042861,57,461447,976,5026058,0,0
258,suaita,santander,565,911869,153,536499,7,47388,725,1495756,0,0
259,sucre,santander,617,845550,706,1311353,5,13970,1328,2170873,0,0
260,surata,santander,180,192444,108,156692,8,51606,296,400742,0,0
261,volez,santander,320,461199,297,840177,44,238704,661,1540080,0,0
262,zapatoca,santander,300,504635,101,43413,42,283014,443,1221779,-390717,0
263,ibague,tolima,888,1867485,1184,9315623,337,2587959,2409,13771067,0,0
264,alpujarra,tolima,186,393905,82,312066,2,19670,270,725641,0,0
265,anzoategui,tolima,256,557260,209,961694,7,56757,472,1575711,0,0
266,armero,tolima,278,1398826,226,1619491,41,549299,545,3567616,0,0
267,ataco,tolima,287,625401,382,1348864,6,33083,675,2007348,0,0
268,cajamarca,tolima,319,466112,173,587395,47,240759,539,1294266,0,0
269,casabianca,tolima,275,289748,105,14948,9,52507,389,491735,-134532,0
270,cunday,tolima,274,608748,401,1111573,43,299560,718,2019881,0,0
271,chaparral,tolima,2061,4115975,3750,10848888,51,293293,5862,15258156,0,0
272,dolores,tolima,207,334741,172,393749,6,19624,385,748114,0,0
273,espinal,tolima,939,3139762,254,2420344,221,2243243,1414,7803349,0,0
274,el guamo,tolima,1602,2302608,303,1324375,167,1692613,2072,5319596,0,0
275,falan,tolima,177,158387,92,130882,20,86107,289,375376,0,0
276,fresno,tolima,392,464221,90,292065,57,216617,539,972903,0,0
