,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
125,caqueza,cundinamarca,1158,1423839,129,270601,78,300156,1365,1994596,0,0
126,chia,cundinamarca,248,670649,93,469798,51,149933,392,1290380,0,0
127,choconta,cundinamarca,1250,1480784,173,565752,54,245410,1477,2291946,0,0
128,el colegio,cundinamarca,454,431055,38,69604,119,366047,611,866706,0,0
129,facatativa,cundinamarca,854,1795840,200,990944,216,1324084,1270,4110868,0,0
130,fomeque,cundinamarca,395,601855,192,310227,96,352692,683,1264774,0,0
131,fusagasuga,cundinamarca,501,690829,196,571995,230,860899,927,2123723,0,0
132,gachala,cundinamarca,436,490430,95,187655,26,110247,557,788332,0,0
133,gacheta,cundinamarca,2020,1111303,382,645352,101,351539,1503,210819,1897375,1000
134,girardot,cundinamarca,294,1212960,204,1995109,61,431547,559,3639616,0,0
135,guaduas,cundinamarca,287,368611,100,395108,76,427167,463,1190886,0,0
136,guasca,cundinamarca,295,340078,63,112911,29,111455,387,564344,100,0
137,guatavita,cundinamarca,257,365195,51,123316,25,86062,333,574573,0,0
138,la calera,cundinamarca,321,494230,154,345753,127,540461,602,1380444,0,0
139,la mesa,cundinamarca,482,734252,58,352287,87,436772,627,1523311,0,0
140,la palma,cundinamarca,419,465562,156,517617,95,386574,670,1369753,0,0
141,la peña,cundinamarca,255,256290,40,100675,14,80447,309,437412,0,0
142,medina,cundinamarca,375,656203,492,566720,2,5544,869,1228467,0,0
143,nocaima,cundinamarca,154,259233,25,62070,39,328841,218,650144,0,0
144,pacho,cundinamarca,743,862161,451,1215721,148,858931,1342,2936813,0,0
145,pesca,cundinamarca,543,774550,201,240545,50,233840,794,1248935,0,0
146,rafael reyes,cundinamarca,297,251105,30,130316,38,194567,365,575988,0,0
147,san bernardo,cundinamarca,262,397470,107,112318,33,173967,402,683755,0,0
148,san francisco,cundinamarca,392,712520,140,397919,88,465773,620,1576212,0,0
149,san juan de rioseco,cundinamarca,715,1258297,92,361757,78,433905,885,2053959,0,0
150,sasaima,cundinamarca,375,549055,96,234303,91,440579,562,1223937,0,0
151,soacha,cundinamarca,321,633895,53,193936,157,480805,531,1308636,0,0
152,sopo,cundinamarca,91,198000,59,262335,40,281756,190,742091,0,0
153,subachoque,cundinamarca,356,915712,102,293767,23,85997,481,1295476,0,0
154,tocaima,cundinamarca,313,562225,51,342975,17,134226,381,1039426,0,0
155,ubate,cundinamarca,966,1419457,181,1001086,140,401851,1287,2822394,0,0
156,une,cundinamarca,406,620115,28,88225,56,277949,490,986289,0,0
157,utica,cundinamarca,136,250485,83,281987,8,91616,227,624088,0,0
158,vergara,cundinamarca,367,595760,75,195193,42,335826,484,1126779,0,0
159,villeta,cundinamarca,289,437366,84,245484,94,526900,467,1209750,0,0
160,viota,cundinamarca,396,695995,16,155350,154,481785,566,1333130,0,0
161,zipaquira,cundinamarca,342,756837,79,775082,80,231397,501,1763316,0,0
162,quibdo,choco,419,79000,18,15482,0,0,437,94482,0,0
163,el carmen,choco,105,113775,73,147681,28,73044,206,334500,0,0
164,neiva,huila,1091,3919390,613,4069489,233,1198373,1937,9187252,0,0
165,acevedo,huila,422,411025,193,231958,28,120170,643,763153,0,0
166,baraya,huila,167,315905,188,356414,28,110137,383,782456,0,0
167,carnecerias,huila,186,263565,168,387995,6,29663,360,681223,0,0
168,garzon,huila,546,814565,512,1610822,102,641947,1160,3067334,0,0
169,gigante,huila,404,593454,176,606798,39,199586,619,1399838,0,0
170,la plata,huila,332,507009,240,574405,35,156598,607,1238012,0,0
171,palermo,huila,302,544072,137,489142,37,142695,476,1175909,0,0
172,pitalito,huila,574,660435,231,552160,13,111668,818,1324263,0,0
173,san agustin,huila,237,359410,142,321822,9,51245,388,732477,0,0
174,timana,huila,618,683815,159,366609,8,41924,785,1092348,0,0
175,yaguara,huila,343,865500,177,788489,23,116233,543,1770222,0,0
176,santa marta,magdalena,479,1732867,358,2117538,48,267698,885,4118103,0,0
177,aguachica,magdalena,110,278479,173,889768,133,558811,416,1727058,0,0
178,cienaga,magdalena,364,897346,176,898802,8,37822,548,1833970,0,0
179,codazzi,magdalena,198,792947,204,1477331,12,56712,414,2326990,0,0
180,el banco,magdalena,205,349712,513,2002049,71,305900,789,2657661,0,0
181,fundacion,magdalena,360,1294843,560,3867792,50,255924,970,5418559,0,0
182,plato,magdalena,406,801651,612,2740123,27,192246,1045,3734020,0,0
183,valledupar,magdalena,498,1738839,587,3444506,51,344548,1136,5527893,0,0
184,pasto,nariño,1778,2095909,1248,3188113,239,1190470,3265,6474492,0,0
185,contadero,nariño,639,799591,166,199765,22,124187,827,1123543,0,0
186,ipiales,nariño,647,1575588,217,749547,57,485262,921,2810397,0,0
187,la cruz,nariño,1035,1543589,122,459879,20,49742,1177,2053210,0,0
188,la union,nariño,1072,1534442,412,1086992,47,74949,1531,2696383,0,0
189,samaniego,nariño,827,827195,331,504622,14,51227,1172,1383044,0,0
190,sandona,nariño,678,647571,199,349722,31,100192,908,1097485,0,0
191,tumaco,nariño,856,333904,186,420675,3,10175,1045,764754,0,0
192,tuquerres,nariño,694,1072434,191,593574,59,313539,944,1979547,0,0
193,cucuta,norte de santander,422,1860487,364,3163223,72,661443,858,5685153,0,0
194,arboledas,norte de santander,334,410637,55,88941,61,177760,450,677338,0,0
195,cachira,norte de santander,624,564610,221,322244,20,84537,865,971391,0,0
196,convencion,norte de santander,301,449191,102,534690,65,452600,468,1436481,0,0
197,chinacota,norte de santander,255,377995,98,314822,53,222020,406,914837,0,0
198,durania,norte de santander,408,1517385,57,306415,38,173944,503,1997744,0,0
199,gramalote,norte de santander,506,699207,160,355972,62,461344,728,1516523,0,0
200,ocaña,norte de santander,429,709355,194,1176057,43,116159,666,2001571,0,0
201,pamplona,norte de santander,1037,1765891,525,1718204,66,259467,1628,3743562,0,0
202,salazar,norte de santander,322,551500,120,294684,33,264821,475,1111005,0,0
203,sardinata,norte de santander,510,780895,132,222967,8,26428,650,1030290,0,0
204,toledo,norte de santander,720,730378,155,258999,30,105987,905,1095364,0,0
205,bucaramanga,santander,2318,4595274,1160,5730027,143,1090161,3621,11415462,0,0
206,barichara,santander,345,365420,79,205415,38,210576,462,781411,0,0
207,barrancabermeja,santander,158,391934,143,1112517,0,0,301,1504451,0,0
208,cimitarra,santander,158,212532,121,508528,19,93088,298,814148,0,0
209,charala,santander,707,867020,333,780890,30,150613,1070,1798523,0,0
210,gambita,santander,268,353196,217,410735,1,5360,486,769291,0,0
211,malaga,santander,2234,1786598,218,439266,96,562762,2548,2788626,0,0
212,matanza,santander,458,409455,148,181158,16,88268,622,678881,0,0
213,onzaga,santander,399,393095,128,174280,2,12000,529,579375,0,0
214,piedecuesta,santander,537,369078,92,155512,31,153546,660,678136,0,0
215,puente nacional,santander,353,289718,601,754026,48,176489,1002,1220233,0,0
216,puerto wilches,santander,238,493861,194,529300,2,13638,434,1036799,0,0
217,rionegro,santander,418,741662,235,447485,39,183750,692,1372897,0,0
218,san andres,santander,976,750084,591,746165,17,120697,1584,1616946,0,0
219,san gil,santander,950,1188568,244,1225055,42,333414,1236,2747037,0,0
220,san vicente,santander,418,799615,239,961915,43,304927,700,2066457,0,0
221,socorro,santander,656,1243985,380,2276732,99,676209,1135,4196926,0,0
222,suaita,santander,680,987880,171,514980,21,107500,872,1610360,0,0
223,sucre,santander,405,442136,344,563470,0,0,749,1005606,0,0
224,surata,santander,205,194282,108,187695,12,75096,325,457073,0,0
225,velez,santander,259,294211,185,540769,78,377260,522,1212240,0,0
226,zapatoca,santander,286,355260,122,366190,49,348754,457,1070204,0,0
227,ibague,tolima,923,2161059,917,7533565,391,2320169,2231,12014793,0,0
228,anzoategui,tolima,176,410931,85,425995,5,17290,266,854216,0,0
229,armero,tolima,284,1291648,162,1006871,27,251980,473,2550500,-1,0
230,ataco,tolima,14,32865,20,112400,0,0,34,145265,0,0
231,cajamarca,tolima,219,257020,131,511862,52,208523,402,977405,0,0
232,casabianca,tolima,195,197766,58,25439,7,40963,260,264168,0,0
233,cunday,tolima,191,341723,102,261282,48,191540,341,794545,0,0
234,chaparral,tolima,858,1776558,1027,3934415,9,80296,1894,5791269,0,0
235,dolores,tolima,272,507379,151,459025,7,52818,430,1019222,0,0
236,espinal,tolima,953,2415194,142,1032654,211,1002549,1306,4450397,0,0
237,el guamo,tolima,1570,1634524,251,836382,175,705198,1996,3176104,0,0
238,falan,tolima,174,164481,29,58487,28,103640,231,326608,0,0
239,fresno,tolima,462,492575,89,221950,76,277834,627,992359,0,0
240,herveo,tolima,241,367060,129,243850,20,132946,390,743856,0,0
241,honda,tolima,110,583534,132,1088100,30,284298,272,1955932,0,0
242,icononzo,tolima,631,1223433,80,277523,58,333562,769,1834518,0,0
243,libano,tolima,764,1309510,443,1236261,168,1069606,1375,3615377,0,0
244,mariquita,tolima,95,101695,63,263143,23,81973,181,446811,0,0
245,melgar,tolima,216,666702,116,894063,15,88193,347,1648958,0,0
246,natagaima,tolima,255,474491,174,565959,18,131217,447,1171667,0,0
247,ortega,tolima,406,595920,144,714697,5,35112,555,1345729,0,0
248,purificacion,tolima,845,1215400,528,2105420,106,308699,1479,3629519,0,0
249,roncesvalles,tolima,79,130575,162,654091,10,96348,251,881014,0,0
250,rovira,tolima,551,771536,626,1771786,43,270795,1220,2814117,0,0
251,san antonio,tolima,278,687708,138,445878,3,79500,419,1213086,0,0
252,san luis,tolima,526,570202,148,550979,9,33247,683,1154428,0,0
253,santa isabel,tolima,103,194288,82,226725,22,103415,207,524428,0,0
254,venadillo,tolima,149,411961,84,275053,8,42461,241,729475,0,0
255,villahermosa,tolima,238,320780,72,103552,37,223440,347,647772,0,0
256,villarica,tolima,238,615639,130,315084,83,151853,451,1082576,0,0
257,cali,valle del cauca,865,3073775,683,7242875,178,1350890,1726,11667540,0,0
258,alcala,valle del cauca,198,484050,32,107772,2,9970,232,601792,0,0
259,buga,valle del cauca,578,1156064,459,3126872,149,952591,1186,5235527,0,0
260,caicedonia,valle del cauca,240,800602,84,318464,19,129816,343,1248882,0,0
261,cartago,valle del cauca,541,1608950,369,2426318,96,1061654,1006,5096922,0,0
262,cerrito,valle del cauca,294,492576,188,1025179,170,583746,652,2101501,0,0
263,buenaventura,valle del cauca,1,700,3,34000,0,0,4,34700,0,0
264,dagua,valle del cauca,380,387698,174,493779,28,114902,582,996379,0,0
265,el aguila,valle del cauca,105,297497,87,196684,9,77937,201,572118,0,0
266,el cairo,valle del cauca,376,932586,231,511859,27,316900,634,1761345,0,0
267,palmira,valle del cauca,673,1387586,329,1928348,363,1047305,1365,4363239,0,0
268,restrepo,valle del cauca,373,526944,149,563049,33,226528,555,1316521,0,0
269,roldanillo,valle del cauca,582,848575,271,986774,93,312997,946,2148346,0,0
270,sevilla,valle del cauca,393,1001900,279,1044215,48,365767,720,2411882,0,0
271,tulua,valle del cauca,512,969485,341,1847233,387,1807788,1240,4624506,0,0
272,trujillo,valle del cauca,182,390712,168,529600,118,483783,468,1404095,0,0
273,versalles,valle del cauca,592,905535,204,453972,58,549344,854,1908851,0,0
274,zarzal,valle del cauca,157,414825,126,885584,19,130015,302,1430424,0,0
275,arauca,arauca,70,144364,721,1006022,0,0,791,1150386,0,0
276,tame,arauca,101,195527,781,1461890,0,0,882,1657417,0,0
277,riohacha,guajira,389,562858,105,480323,59,258609,553,1301790,0,0
278,san juan del cesar,guajira,421,990124,594,2091972,45,256296,1060,3338392,0,0
279,villanueva,guajira,387,1021732,252,1144521,44,267075,683,2433328,0,0
280,villavicencio,meta,875,2956536,956,4482043,69,464505,1900,7903084,0,0
281,guamal,meta,630,1459437,1289,1506366,92,377782,2011,3343585,0,0
282,puerto lopez,meta,269,313350,229,410704,1,1525,499,725579,0,0
283,restrepo,meta,519,695173,1147,1205894,22,102898,1688,2003965,0,0
284,san martin,meta,197,360715,1202,974573,15,68161,1414,1403449,0,0
285,florencia,caqueta,890,1276955,349,1382504,14,49866,1253,2709325,0,0
286,san vicente del caguan,caqueta,107,291173,148,282179,0,0,255,573352,0,0
287,leticia,amazonas,50,92875,52,167195,9,45000,111,305070,0,0
288,mitu,vaupes,177,1142401,0,0,0,0,177,1142401,0,0
289,mocoa,putumayo,259,151673,496,665260,47,184620,802,1001553,0,0
290,puerto carreño,vichada,34,73071,13,59946,0,0,47,133017,0,0
291,san andres,san andres y providencia,88,89254,12,24962,0,0,100,114216,0,0
