,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
133,mocoa,putumayo,156,9756123,334,47095302,490,56851425,0,0
134,cucuta,norte de santander,970,251996029,319,190924619,1289,442920708,-60,0
135,cachira,norte de santander,381,26460000,160,26344000,541,52804000,0,0
136,chinacota,norte de santander,337,36254433,114,27109443,451,63363876,0,0
137,ocaña,norte de santander,1105,160221042,562,283576109,1667,443797151,0,0
138,pamplona,norte de santander,842,83947900,350,88436275,1192,172384175,0,0
139,salazar,norte de santander,847,77529547,209,26477729,1056,104007276,0,0
140,sardinata,norte de santander,479,59286500,89,13163750,568,72450250,0,0
141,toledo,norte de santander,666,57251500,214,23745640,880,80997140,0,0
142,bucaramanga,santander,1359,134293588,436,146703252,1795,280996840,0,0
143,charala,santander,868,74641136,405,75071563,1273,149712699,0,0
144,malaga,santander,1496,104038368,29,8940000,1525,112978368,0,0
145,matanza,santander,499,29988925,107,14911078,606,44900003,0,0
146,puente nacional,santander,485,33174640,499,61487584,984,94662224,0,0
147,rionegro,santander,240,36118000,91,14211700,331,50329700,0,0
148,san andres,santander,754,54028300,278,39122550,1032,93150850,0,0
149,san gil,santander,1046,99278733,242,56510250,1288,155788983,0,0
150,san vicente,santander,344,38160441,189,61315315,533,99475756,0,0
151,socorro,santander,996,119720033,329,115958318,1325,235678351,0,0
152,surata,santander,215,13319500,91,12678250,306,25997750,0,0
153,velez,santander,573,47349271,233,45174669,806,92523940,0,0
154,ibague,tolima,1324,245767612,664,296248739,1988,542016351,0,0
155,armero,tolima,441,113303336,205,113064860,646,226368196,0,0
156,chaparral,tolima,181,21086794,55,16175685,236,37262479,0,0
157,espinal,tolima,859,88348104,178,80207173,1037,168555277,0,0
158,el guamo,tolima,771,64249150,135,63084187,906,127333337,0,0
159,fresno,tolima,979,87151432,198,41912711,1177,129064143,0,0
160,herveo,tolima,180,13269000,42,8144750,222,21413750,0,0
161,honda,tolima,465,72481535,210,89383097,675,161864632,0,0
162,icononzo,tolima,578,59145957,110,25582829,688,84728786,0,0
163,libano,tolima,766,102420886,349,82023621,1115,184444507,0,0
164,ortega,tolima,547,62684436,133,31150408,680,93834844,0,0
165,purificacion,tolima,869,97547718,311,101605098,1180,199152816,0,0
166,san antonio,tolima,273,35894354,41,11156366,314,47050710,10,0
167,san luis,tolima,542,43809727,75,19177543,617,62987270,0,0
168,santa isabel,tolima,170,27736060,79,21794567,249,49530627,0,0
169,san miguel de perdomo,tolima,300,40534307,126,54395167,426,94929474,0,0
170,villahermosa,tolima,452,33501774,130,17996572,582,51498346,0,0
171,melgar,tolima,333,74913047,99,43535335,432,118448382,0,0
172,dolores,tolima,127,19447863,72,16656786,199,36104649,0,0
173,rovira,tolima,487,83773728,135,43510967,622,127284695,0,0
174,cali,valle del cauca,1202,150585447,664,285549191,1866,436134638,0,0
175,buga,valle del cauca,829,78363280,414,150513590,1243,228876870,0,0
176,caicedonia,valle del cauca,337,90502600,193,57702750,530,148205350,0,0
177,cartago,valle del cauca,939,214018734,248,128122707,1187,342141441,0,0
178,cerrito,valle del cauca,165,26482784,81,29654675,246,56137459,0,0
179,el aguila,valle del cauca,188,38308700,71,15532250,259,53840950,0,0
180,el cairo,valle del cauca,370,68480000,215,31717616,585,100197616,0,0
181,palmira,valle del cauca,830,102080871,319,118701489,1149,220782360,0,0
182,roldanillo,valle del cauca,1053,109015148,587,109478560,1640,218493708,0,0
183,sevilla,valle del cauca,344,85547400,362,108516300,706,194003700,60000,0
184,tulua,valle del cauca,1184,161997412,354,125201227,1538,287198639,0,0
185,trujillo,valle del cauca,438,62320380,194,44323409,632,106643789,0,0
186,arauca,arauca,127,19140765,81,24257777,208,43398542,0,0
187,florencia,caqueta,1004,82947408,407,102934456,1411,185881864,0,0
188,san andres,san andres y providencia,94,3863400,13,1216000,107,5079400,0,0
189,villavicencio,meta,977,227041583,2463,260340066,3440,487381649,0,0
