,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
118,guajira,1959,1567,4124617,951,5185712,163,861311,2681,10171640
119,guajira,1960,1555,4293855,928,5091198,155,777678,2638,10162731
120,guajira,1961,2051,6489174,1004,6685894,155,751690,3210,13926758
240,guajira,1962,2234,8202655,1315,9616547,163,982237,3712,18801439
121,huila,1952,4596,487238620,1151,298694229,0,0,5747,785932849
122,huila,1953,5144,597240880,1599,439459175,0,0,6743,1036700115
123,huila,1954,5370,700660902,2656,645197244,0,0,8026,1345858146
124,huila,1955,5517,691660085,3060,810060651,0,0,8577,1501720736
125,huila,1956,5511,745410631,3176,885850450,0,0,8687,1631261081
126,huila,1957,4702,7748970,3193,9477092,0,0,7895,17226062
127,huila,1958,5222,9938145,2936,10356103,561,2920239,8719,23214487
128,huila,1959,6252,12122174,5713,21615625,645,3125828,12610,36863627
129,huila,1960,7100,15360736,6250,24034988,689,3211098,14039,42606822
241,huila,1962,8894,23433859,7301,29281838,909,6204077,17104,58919774
130,magadalena,1956,2135,509235742,3245,1566131136,0,0,5380,2075366878
131,magdalena,1952,2338,414778061,2996,947031009,0,0,5334,1361799070
132,magdalena,1953,4502,842021621,3159,1071187048,0,0,7661,1913208799
133,magdalena,1954,3008,724352990,2822,1123883722,0,0,5830,1848236712
134,magdalena,1955,2808,663329049,3170,1402515395,0,0,5978,2065844444
135,magdalena,1957,2199,5675062,3149,14654846,0,0,5348,20329908
136,magdalena,1958,2620,7886684,3183,17437909,400,2019661,6203,27344254
137,magdalena,1959,3491,12054016,3649,24409390,427,2048538,7567,38511944
138,magdalena,1960,4286,14248146,3808,26371993,427,2004270,8521,42624409
242,magdalena,1962,8076,32386613,5867,54355139,429,2378979,14372,89120731
139,meta,1952,860,137571167,149,54251109,0,0,1009,191822276
140,meta,1953,977,227041583,2463,260340066,0,0,3440,487381649
141,meta,1954,1934,494052907,5445,585281532,0,0,7379,1079334439
142,meta,1955,2259,652888656,5284,742680232,0,0,7543,1395568888
143,meta,1956,2264,532891038,5056,885612470,0,0,7320,1418503508
144,meta,1957,2296,4920000,4886,8258183,0,0,7182,13178183
145,meta,1958,2490,5785211,4823,8579580,199,1014871,7512,15379662
146,meta,1959,2592,5936874,4916,10816471,252,1446908,7760,18200253
147,meta,1960,2917,6546062,5279,14506794,275,1564519,8471,22617375
243,meta,1962,4714,13540693,5947,21724831,360,2398217,11021,37663741
148,nariño,1952,5037,420960638,2341,448114154,0,0,7378,869074792
149,nariño,1953,5460,525029547,2336,448689803,0,0,7796,973629350
150,nariño,1954,6376,677264367,2456,529097277,0,0,8832,1206361644
151,nariño,1955,7512,837335186,3379,711289845,0,0,10891,1548625031
152,nariño,1956,7287,847031111,3685,803945989,0,0,10972,1650977100
153,nariño,1957,7276,8767601,3622,8411105,0,0,10898,17178706
154,nariño,1958,8226,10430223,3072,7552889,492,2399743,11790,20382855
155,nariño,1959,8610,11975151,3308,8335442,515,2526967,12433,22837560
156,nariño,1960,9735,14579890,3477,9752887,533,2391927,13745,26724704
244,nariño,1962,11478,20286849,4623,12365057,657,2877775,16758,35529681
157,norte de santander,1952,5095,633887896,1512,500213943,0,0,6607,1134101839
158,norte de santander,1953,5627,752946951,2017,679777565,0,0,7644,1432724576
159,norte de santander,1954,6196,961531252,2356,840176250,0,0,8552,1801707502
160,norte de santander,1955,6538,975825422,2944,1129120310,0,0,9482,2104945732
161,norte de santander,1956,6429,949852014,3131,1214846006,0,0,9560,2164698020
162,norte de santander,1957,5588,9063359,2744,10871814,0,0,8332,19935673
163,norte de santander,1958,5868,10417531,2183,8757218,551,3006510,8602,22181259
164,norte de santander,1959,6222,11696591,2156,9371840,500,2766435,8878,23834866
165,norte de santander,1960,6674,13228132,2472,12035451,465,2486787,9611,27750370
166,norte de santander,1961,8168,18030633,2983,15635643,462,2498087,11613,36164363
245,norte de santander,1962,9316,22002906,3548,20011869,462,2991643,13326,45006418
167,putumayo,1952,81,4555000,91,14159000,0,0,172,18714000
168,putumayo,1953,156,9756123,334,47095302,0,0,490,56851425
169,putumayo,1954,184,8587500,441,46625749,0,0,625,55213249
170,putumayo,1958,259,151673,496,665260,47,184620,802,1001553
171,putumayo,1959,343,238278,643,842429,54,206413,1040,1287120
172,putumayo,1960,364,410199,760,1106709,62,219767,1186,1736675
173,putumayo,1961,430,586015,798,1579070,69,306882,1297,2471967
246,putumayo,1962,446,684757,931,1907221,78,450322,1455,3042300
174,san andres y providencia,1952,78,2926200,4,390000,0,0,82,3316200
175,san andres y providencia,1953,94,3863400,13,1216000,0,0,107,5079400
176,san andres y providencia,1954,75,5256200,17,2071243,0,0,92,7327443
177,san andres y providencia,1955,103,5979176,23,2861903,0,0,126,8841079
178,san andres y providencia,1956,83,5056600,22,1791300,0,0,105,6847900
179,san andres y providencia,1957,93,108150,16,22942,0,0,109,131092
180,san andres y providencia,1958,88,89254,12,24962,0,0,100,114216
181,san andres y providencia,1959,87,138620,11,19760,0,0,98,158380
182,san andres y providencia,1960,89,164761,12,41385,0,0,101,206146
183,san andres y providencia,1961,102,141129,14,61587,0,0,116,202716
247,san andres y providencia,1962,87,121380,11,50529,0,0,98,171909
184,santander,1952,8128,739663586,2018,557316880,0,0,10146,1296980466
185,santander,1953,8875,784110935,2929,652084529,0,0,11804,1436195464
186,santander,1954,10902,1108694368,4488,1026167191,0,0,15390,2134861559
187,santander,1955,13020,1333580661,5577,1546459277,0,0,18597,2880039938
188,santander,1956,13757,1457894475,6296,1924466524,0,0,20053,3382360999
189,santander,1957,12239,13658856,6813,21051232,0,0,19052,34710088
190,santander,1958,13426,17524864,6053,18812110,826,5084108,20305,41421082
191,santander,1959,14816,21591245,6657,23031475,806,5127732,22279,49750452
192,santander,1960,18440,29689566,7284,28889780,851,5299633,26575,63878979
193,santander,1961,21962,41331177,8757,38009107,958,6284665,31677,85624949
248,santander,1962,22423,45638205,10312,48965663,1194,9141320,33929,103745188
194,tolima,1952,9263,1227834901,2781,932613819,0,0,12044,2160453700
195,tolima,1953,10644,1387066820,3347,1176806461,0,0,13991,2563873271
196,tolima,1954,12547,1789842098,5121,1706159205,0,0,17668,3496001303
197,tolima,1955,12262,1754134504,6238,2129372011,0,0,18500,3883506515
198,tolima,1956,11314,1632206956,6122,2223584796,0,0,17436,3855791752
199,tolima,1957,11435,17863926,5869,22429532,0,0,17304,40293458
200,tolima,1958,12016,21924157,6415,28152491,1694,8719465,20125,58796114
201,tolima,1959,13760,26423302,11784,48209381,1618,8479140,27162,83111823
202,tolima,1960,15356,31862885,12926,51482102,1641,12469012,29923,95813999
203,tolima,1961,15478,33190008,13242,51617377,1752,18152416,30472,103959801
249,tolima,1962,15784,37765035,13307,50825533,2125,22049056,31216,110639624
204,valle del cauca,1952,6946,980239561,2786,1022557686,0,0,9732,2002800447
205,valle del cauca,1953,7879,1187702756,3702,1205013764,0,0,11581,2392656520
206,valle del cauca,1954,7746,1266973285,4360,1508340037,0,0,12106,2775313322
207,valle del cauca,1955,8419,1416636616,5494,2146247967,0,0,13913,3562884583
208,valle del cauca,1956,7762,1412297023,5767,2591557908,0,0,13529,4003854931
209,valle del cauca,1957,7000,14092574,5436,27587967,0,0,12436,41680541
210,valle del cauca,1958,7042,15680060,4177,23722577,1797,9521933,13016,48924570
211,valle del cauca,1959,7392,15859646,5143,32701523,1810,9472407,14345,58033576
212,valle del cauca,1960,7367,17333175,5507,34554946,1788,9063016,14662,60951137
213,valle del cauca,1961,7066,19255475,5865,42393130,1818,9210926,14749,70859531
250,valle del cauca,1962,6277,19446945,5925,45356148,1917,10845876,14119,75648969
214,vaupes,1955,42,12100000,0,0,0,0,42,12100000
215,vaupes,1956,86,32800000,0,0,0,0,86,32800000
216,vaupes,1957,157,626450,0,9,0,0,157,626450
217,vaupes,1958,177,1142401,0,0,0,0,177,1142401
218,vaupes,1959,177,1107197,1,4583,0,0,178,1111780
219,vaupes,1960,180,928683,1,3749,0,0,181,932432
220,vaupes,1961,174,937857,1,2915,0,0,175,940772
251,vaupes,1962,42,251120,1,5670,0,0,43,256790
221,vichada,1955,6,2370000,5,1810000,0,0,11,4180000
222,vichada,1956,56,13025000,17,7520000,0,0,73,20545000
223,vichada,1957,42,118574,17,59627,0,0,59,178201
224,vichada,1958,34,73071,13,59946,0,0,47,133017
225,vichada,1959,35,70920,15,55705,0,0,50,126625
226,vichada,1960,26,66360,11,36658,0,0,37,103018
227,vichada,1961,27,55383,14,43402,0,0,41,98785
252,vichada,1962,32,88539,20,90139,0,0,52,178678
