Oficina,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Fresno,1. 028,1. 056.899.26,253,755.601. 78,1.281,1.812. 501.04
Herveo,178,125. 930.00,49,68.252. 02,227,"194, 182.02"
Honda,471,1. 027.278.91,288,1.558.100. 02,759,"2, 585,378,93"
Icononzo.,970,1. 059.964.00,413,551.653.27,1. 383,1.611.617.27
Líbano,1. 058,1.504.989.00,540,1. 426.451.73,1. 598,"2.931.440, 73"
Melgar,573,"1,177.132,60",212,658. 775.91,785,1.835.908. 51
Ortega,533,609.164. 14,127,397. 184.94,660,"1, 006.349. 08"
Purificacion,1.110,"1.601, 348.61",370,"1, 282.509.54",1. 480,2.883.858. 15
Roncesvalles.,91,189.860.53,94,400.367.12,185,590.227.65
Rovira,654,"1, 123. 174. 95",311,790. 445.48,965,"1,913. 620.43"
San Antonio,2 16,360.315.00,51,174. 177.39,267,534.492. 39
San Luis..,450,373. 004.78,98,"287.839,44",548,660. 844. 22
San Miguel de Perdomo,315,399.849.53,173,678.978. 46,488,"1.078,827.99"
Santa Isabel,225,315. 195.00,120,318. 835. 50,345,634. 030. 50
Villahermosa,426,"402, 108,00",163,"189,017 53",589,"591, 125,53"
CALI,1.298,"1,712.991.43",775,3.646. 724.62,2.073,5. 359.716.05
Buga,557,"559,495.50",372,1.239.378.99,929,1.798.874.49
Caicedonia,276,949.225. 78,159,"502, 834.00",435,1. 452.059. 78
Cartago,1. 003,"2, 473.246.12",322,"2.232, 850.41",1. 325,4.706.096. 53
Cerrito,408,462.749.00,231,820.976.98,639,1.283.725.98
El Aguila,158,409.364.13,89,179.339.00,247,588.703. 13
El Cairo..,48 7,791.916.75,313,370.158.43,800,"1.162, 075. 18"
Palmira,746,"876,613, 04",392,"1.322. 743, 37",1.138,2. 199.356. 41
Roldanillo,"1,096","1,212. 395.89",609,"1.118. 751,77","1,705",2. 331.147.66
Sevilla,462,"1. 224, 157.00",358,1. 151.162.50,820,2: 375: 319.50
Tuluá,866,l. 400.717.00,456,"1, 955.795. 47",1. 322,"3, 356. 512. 47"
Trujillo,389,"596.861,21",284,542.684.83,673,1. 139: 546. 04
RIOHACHA,522,792.959.94,119,267.404.40,641,"1. 060,364.34"
San Juan del C.,794,"1.573, 978.46",487,1. 250.689.89,1. 281,2.824.668.35
Villanueva,771,"1. 558,379, 07",244,"947, 104,24",1.015,"2, 505, 483, 31"
ARAUCA,153,392. 910.45,1.092,1. 636.245.00,1.245,"2, 029,155.45"
Tame,36,105.150.00,480,563.800.00,516,668.950.00
FLORENCIA,1.267,1.280. 474.49,480,1. 377.902.81,1. 747,2.658.377.30
LETICIA,17,14.940.00,4,30.250.00,21,45. 190.00
SAN ANDRES,75,52.562.00,17,20.712.43,92,73.274. 43
VILLAVICENCIO,"1,934",4.940.529.07,5. 445,"5.852,815. 32",7. 379,"10. 793, 344, 39"
