Oficina,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Sevilla,396,735.002.00,321,1.048.010.00,717,"1,783.042.00"
Tuluá,1.116,1.465.053.20,319,1.171.555.99,1.435,2.636.609.19
Trujillo,391,540.290.41,117,351.317.57,508,891.607.98
El Aguila,172,316.440.00,20,69.220.00,192,385.660.00
El Cairo,213,396.690.00,34,89.080.00,247,485.770.00
Cerrito,125,115.801.00,58,222.481.00,183,338.282.00
Arauca,144,205.625.46,91,266.868.70,235,472.494.16
Florencia,1.054,739.330.17,298,950.636.76,1.352,1.689.966.93
San Andrés,78,29.262.00,4,3.900.00,82,33.162.00
Villavicencio,860,1.375.711.67,149,542.511.09,1.009,1.918.222.76
Mocoa,81,45.550.00,91,141.590.00,172,187.140.00
