Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
Puerto Berrio,Antioquia,72,340. 951,148,"1,026. 930",1,810,221,"1. 368,691"
Remedios,Antioquia,193,474.253,240,836. 994,10,76. 663,443,1.387. 910
Rionegro,Antioquia,471,436.238,546,706. 975,66,273.471,"1,083",1.416. 684
Salgar,Antioquia,119,744.959,122,633.431,32,301. 181,273,1. 679.571
San Carlos,Antioquia,380,514. 751,436,650. 511,1,2. 575,817,1. 167. 837
San Roque,Antioquia,246,"228,945",236,549.966,26,64. 690,508,843. 601
Santa Bárbara,Antioquia,286,508. 165,99,331.129,45,189. 942,430,"1, 029.236"
SantaFe de Antioquia,Antioquia,347,372. 526,97,262. 275,22,134. 549,466,769.350
Santa Rosa de Osos,Antioquia,207,473.987,439,1.437.417,13,46. 609,659,"1.958,013"
Santuario,Antioquia,711,"678, 211",402,417.272,52,147. 809,1.165,"1,243, 292"
Sonsón,Antioquia,689,788. 335,78,"233, 286",117,"254,406",884,"1,276. 027"
Sopetrán,Antioquia,518,"642, 808",183,594. 758,96,357.881,797,1. 595.447
Támesis.,Antioquia,611,1.089. 197,180,449. 522,84,264. 669,875,"1.803, 388"
Titiribi,Antioquia,271,974.855,89,792. 807,20,97. 338,380,1.865.000
Turbo,Antioquia,453,572. 754,196,696. 198,0,0,649,"1. 268, 952"
Urrao,Antioquia,368,"740, 845",297,758.533,84,240. 964,749,"1,740. 342"
Yarumal.,Antioquia,673,"781, 578",365,"1,820. 463",112,542.919,1.150,"3.144, 960"
Yolombó,Antioquia,231,310.940,122,712.180,3,28.499,356,"1,051, 619"
Barranquilla,Atlantico,1.826,"4.027, 394",711,"6,816. 930",107,613. 987,"2, 644",11.458. 311
Sabanalarga,Atlantico,"1, 202","945, 866",334,1.430. 779,20,74. 879,"1, 556","2,451,524"
Cartagena...,Bolivar,1. 507,"4.957, 720",1. 028,9. 579.977,116,1.151.242,2.651,15.688. 939
Calamar.,Bolivar,"1,095",2. 148. 152,478,"3,682. 657",3,64.100,1.576,5.894.909
Corozal.,Bolivar,204,803. 527,384,2. 277.143,89,"373, 094",677,"3,453, 764"
El Carmen,Bolivar,562,"1, 091,893",401,"2. 621,497",131,"776, 453","1,094","4,489.843"
Magangué,Bolivar,591,"1, 506. 069",453,"3, 125,667",20,150.531,"1, 064",4.782.267
Marta La Baja,Bolivar,468,626. 404,184,1.010. 686,14,83. 142,666,1. 720.232
Majagual,Bolivar,347,846. 554,153,"637, 451",0,0,500,"1,484, 005"
Mompós.,Bolivar,525,"1,875. 661",533,4.245. 984,16,"73,016",1.074,6. 194.661
Ovejas,Bolivar,202,491. 907,226,"1,150. 388",26,135. 572,454,1.777.867
San Juan Nepomuceno,Bolivar,681,"631, 720",329,1.601.214,54,283. 388,1.064,2. 516. 322
San Onofre,Bolivar,756,918.976,361,1.914. 363,0,0,1.117,2.833. 339
"Since,",Bolivar,528,"1,113, 585",457,"2,249.286",66,273. 756,"1,051","3, 636.627"
Sincelejo,Bolivar,"1,236",2.110. 346,500,4.433. 917,33,391.170,"1, 769","6,935,433"
Sucre,Bolivar,242,"600, 665",240,"1.237, 059",1,"12,000",483,1. 849.724
Tuaja,Boyaca,"1,716","3,970, 380",428,3.012. 943,370,1.634. 782,2.514,"8, 618. 105"
Chiquinquirá,Boyaca,1.647,"3, 220,200",577,"1.974,803",126,762. 461,2. 350,5. 957.464
Duitama.,Boyaca,1.029,"2.294, 735",252,"1.441,573",96,376. 095,1377,"4, 112, 403"
El Cocuy,Boyaca,590,"861, 254",262,657.293,43,"310, 058",895,"1. 828, 605"
El Espino,Boyaca,1.111,990. 125,188,"410, 359",27,113. 422,1. 326,"1, 513. 906"
Garagoa.,Boyaca,1.470,2. 375.047,367,1.014.505,92,316. 523,"1, 929","3. 706,075"
Guateque,Boyaca,"1,293","1.551, 710",169,519. 962,78,"290, 319",1. 540,"2, 361,991"
Guayatá•,Boyaca,1.104,1.647.410,136,"296, 188",11,35. 087,1.251,"1, 978, 685"
La Uvita.,Boyaca,1.197,1. 399.460,273,530.054,10,40. 395,"1,480","1, 969. 909"
Leiva,Boyaca,1.305,"1,839. 170",201,559.517,107,"333, 461","1, 613",2. 732. 148
Miraflores..,Boyaca,"1,493","3,440, 394","1,190","1,504. 792",137,608. 941,2. 820,5. 554. 127
Moniquirá.,Boyaca,1.211,"1,414,112",255,"957, 887",93,355.107,"1, 559","2, 727.106"
Orocué.,Boyaca,55,104.020,139,305.191,0,0,194,409.211
Pauna,Boyaca,1.074,"1, 322, 106",208,483.411,34,133338,"1,316","1,938, 855"
Pazde Ariporo,Boyaca,51,"193, 843",226,"925, 636",0,0,277,1.119.479
Pesca,Boyaca,"1,269","1.168, 838",113,293. 170,61,"251,109","1,443","1, 713,117"
Pueblo Viejo,Boyaca,1.118,"1,016. 249",103,173.018,18,39.296,"1,239",1. 228.663
Puerto Boyacá,Boyaca,285,973. 653,129,"1,312. 637",3,10. 338,417,2.296. 628
Ramiriqui,Boyaca,"1,567","2. 228,267",125,299. 652,142,451.144,1.834,2. 979.063
Saboyá,Boyaca,"1,549","2. 773,439",469,1. 399.940,22,66. 629,"2, 040","4, 240. 008"
San Luis de Gaceno,Boyaca,739,"2,151, 395",220,578. 735,5,28979,964,2. 759.109
San Luis de Palenque,Boyaca,131,399.980,354,"1,186. 743",0,0,485,1. 586. 723
Santa Rosa de Vitervo,Boyaca,786,"1,072. 310",110,"393, 267",83,"310,157",979,"1,775, 734"
Soatá,Boyaca,"1,409","1.345, 686",253,411.872,47,"154,065","1,709","1,911. 623"
Socha,Boyaca,610,727.010,87,165. 278,12,54. 332,709,"946, 620"
Sogamoso,Boyaca,2. 585,"2, 902, 933",357,2. 773. 276,102,"383, 199","3,044","5,059.408"
Tamara.,Boyaca,242,435. 657,125,184. 927,0,0,367,"620, 584"
Toca•,Boyaca,634,"1,043, 212",80,717.112,127,435. 168,841,2. 195.492
Ventaquemada,Boyaca,"1, 084",2. 475. 409,118,"422,082",68,"298,806",1.270,"3. 196,297"
Yopal,Boyaca,300,"712,215",605,1. 538. 374,0,0,905,"2, 250, 589"
Manizales,Caldas,505,2.946. 228,640,"7.116, 859",182,1.064. 684,1. 327,"11,127. 771"
Aguadas.,Caldas,494,"951, 330",199,"1,199, 025",56,353. 300,749,"2, 503. 655"
Anserma,Caldas,909,1.656. 632,264,978. 823,94,525.450,1.267,3. 160.905
Apía,Caldas,337,641.204,264,809. 061,30,"229, 444",631,"1, 679.709"
Aranzazu,Caldas,612,944. 537,219,593. 272,48,"178,609",879,"1,716.418"
Armenia.,Caldas,794,"3,226, 323",461,"2, 921, 371",127,581.241,l. 382,"6, 728.935"
Belalcazar..,Caldas,378,"1, 312, 242",162,494. 608,13,118.191,553,"1, 925,041"
Belén de Umbrla,Caldas,288,536. 120,173,461. 209,52,425.685,513,"1,423, 014"
Calarcá,Caldas,471,1.923. 830,225,"1,198, 604",50,239.801,746,"3. 362,235"
Chinchina,Caldas,340,"850,226",146,"467, 002",77,492.190,563,"1,809.418"
Filandia.,Caldas,355,373. 147,142,324.992,76,202. 929,573,901. 068
Génova..,Caldas,143,"437, 613",88,468.159,6,"78,412",237,984. 184
La Dorada..,Caldas,314,"1,842. 386",396,"4.203, 403",37,142. 734,747,"6. 188, 523"
Manzanares.,Caldas,912,"1.531, 763",335,1.035. 708,32,125. 388,"1, 279","2, 692, 859"
Marsella,Caldas,200,327.460,126,280. 103,51,281.366,377,888. 929
Montenegro.,Caldas,134,327. 525,55,"205, 091",29,168.223,218,700. 839
Neira,Caldas,157,264. 300,.74,219.240,19,137. 544,250,"621, 084"
Pácora..,Caldas,471,842. 897,183,572. 858,35,163.415,689,"1, 579.170"
Pensilvania.,Caldas,847,"1. 336, 442",464,"906, 910",36,"141,466","1, 347","2. 384,818"
Pereira,Caldas,578,2.258. 143,456,3. 987. 651,151,749.553,1.185,6.995. 347
Pijao,Caldas,114,"925, 350",69,624.280,17,84. 647,200,1. 634.277
Quimbaya,Caldas,290,636. 979,91,"246, 180",47,"240, 904",428,"124, 063"
Quinchía.,Caldas,482,"369,047",140,240. 750,24,"225, 771",646,835. 568
Riosucio.,Caldas,840,660.434,194,"630, 579",184,763. 102,1.218,2. 054.115
Salamina,Caldas,552,"1,232. 806",264,973.497,69,279.424,885,2.485.727
"Samaná.,",Caldas,340,454. 316,129,"214,845",8,"52, 585",477,721.746
Santa Rosa de,Caldas,449,"767, 466",382,691. 326,164,645. 890,995,"2: 104, 682"
Santuario,Caldas,234,649.418,63,"226, 048",2,13. 100,299,"888,566"
Viterbo..,Caldas,130,"372, 520",23,"88, 666",26,"127, 750",179,"588, 936"
Cúcuta,Norte de Santander,767,3.995.611,656,6.429.847,73,768.341,1.496,11.193.799
Arboledas.,Norte de Santander,409,513.250,127,182.867,45,97.681,581,793.798
Cáchira,Norte de Santander,782,1.060.466,196,304.016,19,85.055,997,1.449.537
Convención,Norte de Santander,370,561.063,175,880.852,59,239.302,604,1.681.217
Chinácota.,Norte de Santander,313,577.310,172,"716,347",36,250.455,521,1.544.112
Durania,Norte de Santander,490,"1,592.775",122,553.370,31,155.199,643,"2,301.344"
Gramalote.,Norte de Santander,570,"943,480",158,545.577,47,267.533,775,"1,756.590"
Ocaña,Norte de Santander,1.058,2.523.143,248,2.127.488,26,79.265,1.332,"4,729.896"
Pamplona.,Norte de Santander,1.407,3.438.062,577,2.409.765,59,226.119,2.043,6.073.946
Salazar,Norte de Santander,315,552.503,102,397.246,30,168.706,447,"1.118,455"
Sardinata,Norte de Santander,619,1.098.900,162,356.853,15,70.926,796,1.526.679
Toledo,Norte de Santander,1.068,1.174.070,288,731.415,22,89.505,1.378,1.994.990
Bucaramanga.,Santander,2.994,10.698.611,1.406,11.337.526,125,1.205.017,4.525,23.241.154
Barichara..,Santander,376,488.128,91,275.951,36,169.460,503,933.539
Barrancabermeja,Santander,749,1.680.530,346,2.674.776,3,20.400,"1,098",4.375.706
Bolivar,Santander,343,528.105,356,609.597,4,13.190,703,1.150.892
Cimitarra.,Santander,451,748.245,510,1.893.051,45,208.290,1.006,2.849.586
Concepción,Santander,1.310,"1,726.952",267,757.240,38,336.210,1.615,2.820.402
Charalá,Santander,1.038,1.634.784,277,1.119.730,27,181.642,"1,342",2.936.156
Gambita,Santander,512,815.140,207,528.842,1,"1,890",720,1.345.872
Guepsa,Santander,652,"1,019.221",101,"442,159",61,"293,724",814,1.755.104
Málaga,Santander,1.998,2.003.174,266,616.522,73,388.712,"2,337","3,008,408"
Matanza,Santander,491,452.451,107,"227,609",16,64.405,614,744.465
Oiba,Santander,415,843.520,117,660.505,24,"112,451",556,1.616.476
Onzaga,Santander,549,660.337,114,252.580,5,42.000,668,954.917
Piedecuesta..,Santander,735,797.881,91,271.397,18,180.862,844,1.250.140
Puente Nacional,Santander,899,1.134.922,480,897.898,131,449.661,1.510,2.482.481
Puerto Wilches,Santander,787,2.278.025,284,1.385.517,3,18.938,1.074,3.682.481
Rionegro,Santander,567,1.399.958,321,1.149.173,37,359.485,925,"2,908.616"
San Andrés,Santander,1.132,1.327.012,515,666.348,15,97.986,1.662,2.091.346
San Gil,Santander,1.513,2.418.256,287,1.300.067,63,569.622,1.863,4.287.945
San Vicente,Santander,702,1.671.700,374,1.734.526,44,"295,373",1.120,3.701.599
Socorro,Santander,545,1.666.283,359,3.579.417,54,"508,103",958,5.753.802
Suaita,Santander,877,1.475.733,271,1.272.909,21,132.433,1.169,"2.881,075"
Sucre..,Santander,452,735.432,662,1.517.689,6,14.145,1.120,2.267.266
Suratá.,Santander,209,256.665,139,285.530,8,42.831,356,585.026
Tona,Santander,911,"1,487.924",271,791.227,26,206.308,"1,208",2.485.459
Vélez,Santander,481,744.578,428,1.172.611,37,186.231,946,2.103.420
Zapatoca,Santander,274,637.610,110,"588,710",37,185.296,421,"1,411. 616"
Ibagué.,Tolima,856,2.046.472,1.176,9.435.524,324,2.113.313,2.356,13.595.309
Alpujarra.,Tolima,171,451.658,101,392.514,1,10.004,273,854.176
Anzoátegui,Tolima,248,490.000,214,909.202,7,61.131,469,"1,460.333"
Armero,Tolima,310,"1.592, 777",212,1.453.078,49,950.626,571,3.996.481
Ataco,Tolima,223,548.031,364,1.114.620,3,11.393,590,1.674.044
Cajamarca,Tolima,325,542.485,164,714.929,50,295.212,539,1.552.626
Casabianca,Tolima,264,270.756,122,155.826,11,65.012,397,491.594
Cunday,Tolima,241,558.151,449,1.085.311,42,297.295,732,1.940.757
Chaparral.,Tolima,1.780,2.822.004,3.013,8.074.619,53,317.757,4.846,"12.214,380"
Dolores,Tolima,175,334.920,146,348.445,6,16.376,327,699.741
Espinal,Tolima,848,2.962.404,294,2.868.073,284,4.556.043,1.426,10.386.520
Falan,Tolima,151,174.550,81,134.252,23,91.050,255,399.852
Fresno,Tolima,341,424.686,122,376.483,59,212.930,522,1.014.099
Guamo.,Tolima,1.784,"2,766.632",332,1.733.730,164,2.316.257,2.280,6.816.619
Herveo,Tolima,246,"368,220",147,229.521,20,90.767,413,708.508
Honda,Tolima,120,739.420,107,1.118.218,21,156.275,248,2.013.913
Icononzo.,Tolima,678,1.629.975,267,768.413,58,286.395,1.003,"2.684,783"
Libano,Tolima,1.030,2.144.858,781,2.299.643,177,1.138.663,"1,988",5.583.164
Mariquita.,Tolima,98,"223,139",30,161.998,13,37.415,141,422.552
Melgar,Tolima,216,902. 732,177,1.548.487,17,192.105,410,2.643.324
Natagaima,Tolima,492,"1,328,701",262,1.261.176,13,70.534,767,2.660.411
Ortega,Tolima,562,"1,139, 767",377,"1,275.816",5,24.373,944,2.439.956
Planadas,Tolima,282,707.859,813,1.706.516,44,299.750,"1,139",2.714.125
Purificación.,Tolima,821,1.775.963,871,3.959.440,122,3.353.548,1.814,9.088.951
Roncesvalles.,Tolima,111,262.890,268,1.000.170,8,116.358,387,1.379.418
Rovira,Tolima,757,1.298.344,968,2.563.646,46,287.079,1.771,4.149.069
San Antonio,Tolima,349,709.201,243,945.858,13,184.753,605,1.839.812
"San Luis,",Tolima,884,"1,097.566",246,"952,795",12,47.723,1.142,"2,098.084"
Santa Laabel..,Tolima,156,349.489,143,558.830,18,156.500,317,"1,064.819"
Venadillo,Tolima,268,903.389,153,844.723,6,33.088,427,1.781.200
"Villahermosa,",Tolima,247,334.342,59,135.933,17,90.477,323,560.752
Villarrica.,Tolima,444,1.268.627,540,1.489.588,66,272.214,1.050,3.030.429
Cali,Valle del Cauca,898,3.676.388,956,11.544.655,325,1.844.070,2.179,17.065.113
Alcalá.,Valle del Cauca,179,372.115,53,161 385,3,12.950,235,546.450
Bolivar,Valle del Cauca,285,411.402,172,525.629,37,168.113,494,1.105.144
Buenaventura.,Valle del Cauca,118,180.809,30,155.568,2,18.215,150,354.592
Buga,Valle del Cauca,569,1.510.282,728,5.236.359,179,980.876,"1,476",7.727.517
Caicedonia,Valle del Cauca,236,1.078.349,134,598. 541,21,133.063,391,1.809.953
Cartago,Valle del Cauca,668,3.045.460,806,4.725.099,142,940.594,1.616,8.711.153
"Dagua,.",Valle del Cauca,343,342.482,238,725.959,62,473.244,643,1.541.685
EI Aguila,Valle del Cauca,120,326.687,56,164.150,5,27.625,181,518.462
EL Cairo..,Valle del Cauca,319,777.419,278,689.516,27,167.999,624,1.634.934
El Cerrito.,Valle del Cauca,307,485.520,158,"1,304.596",147,532.707,612,"2.322,823"
Palmira,Valle del Cauca,627,1.837.199,487,6.556.168,300,956.015,1.414,9.349.382
Restrepo..,Valle del Cauca,237,314.964,116,"403,995",28,110.205,381,829.164
Roldanillo.,Valle del Cauca,404,638.487,213,1.230.900,66,162.873,683,"2,032,260"
"Sevilla,",Valle del Cauca,418,"1,182,499",405,2.257.354,89,729.624,912,"4.169,477"
"Tulua,,",Valle del Cauca,486,"1,194,515",498,3.456.732,219,"1,035.074",1.203,"5,686.321"
Trujillo,Valle del Cauca,197,667.078,142,544.449,85,461.292,424,1.672.819
Versalles,Valle del Cauca,496,"769,465",222,592.173,46,299.020,764,1.660.658
"Zarzal,",Valle del Cauca,159,444.355,173,1.519.902,35,157.367,367,2.121.624
Arauca,Arauca,79,217.524,738,1.645.886,0,0,817,1.863.410
Tame,Arauca,265,1.157.508,681,1.937.802,4,13900,950,"3,109.210"
Florencia,Caqueta,908,1.688.072,643,3.034.623,109,470.342,"1,660",5.193.037
Belén de los Andaquíes,Caqueta,284,443.673,195,754.196,23,80.426,502,"1,278,295"
Puerto Rico..,Caqueta,235,418.868,337,1.333.889,44,"153,441",616,1.906.198
San Vicente del Caguän,Caqueta,314,881.006,268,930.638,46,166.457,628,1.978.101
Solano.,Caqueta,185,355.810,157,516.706,0,0,342,872.516
"Riobacha,.",Guajira,342,818.387,126,689.331,75,343.295,543,"1,851.013"
"Barrancas,",Guajira,312,573.280,126,492.734,20,"75,154",458,"1,141.168"
Fonseca,Guajira,382,1.226.443,159,944.047,18,89.259,559,2.259.749
San Juan del César.,Guajira,493,2.411.976,333,2.782.706,4,36.270,830,"5.230,952"
"Villanueva,",Guajira,522,1.459.088,260,1.777.076,38,207.712,820,3.443.876
San Andrés y Prov..,San Andres y Providencia,102,141.129,14,61.587,0,0,116,"202,716"
Leticia,Amazonas,98,312.141,63,206.044,0,0,161,518.185
Mitú,Vaupes,174,937.857,1,2.915,0,0,175,940.772
Puerto Carreño..,Vichada,27,"55, 383",14,"43,402•",0,0,41,98.785
Mocoa,Putumayo,312,294.232,496,664.276,9,34.033,817,992.541
Sibundoy,Putumayo,118,"291,783",302,914.794,60,272.849,480,"1,479.426"
