Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Pauna,Boyaca,843,736.652,153,255. 662,996,992. 314
Pesca,Boyaca,1. 317,961.953,114,320. 887,"1, 431",1.282. 840
Puebloviejo.,Boyaca,1. 142,706.904,137,189. 823,1.279,896. 727
Ramiriquí,Boyaca,1.511,1.233.644,246,446560,1. 757,1.680.204
Saboyá,Boyaca,1. 170,1.247. 358,282,450. 759,1.452,"1.698, 117"
San Luis de Gaceno,Boyaca,509,1. 022. 385,482,627. 826,991,1.650. 211
San Luis de Palenque,Boyaca,• 52,98. 201,449,1.042. 322,501,1.140. 523
Santa Rosa de Viterbo..,Boyaca,702,"754,631",84,"234, 785",786,989. 416
Soata,Boyaca,1. 056,868. 269,111,310. 142,1. 167,1. 178.411
Socha,Boyaca,727,"622, 479",242,"288, 290",969,910. 769
Sogamoso,Boyaca,3.117,3. 194. 007,208,1. 097.663,3. 325,4.291.670
Támara,Boyaca,246,"280, 423",264,631.637,510,912. 060
Ventaquemada,Boyaca,630,"752, 672",82,"266, 226",712,1. 018.898
Yopal,Boyaca,171,366. 385,480,962. 102,651,1. 328. 487
MANIZALES,Caldas,269,1.151. 431,447,3. 863. 778,716,5. 015.209
Aguadas,Caldas,504,870.617,200,"1, 119.607",704,"1,990, 224"
Anserma,Caldas,830,1.676. 791,262,1.530. 569,"1, 092",3. 207. 360
Apía.,Caldas,367,854.745,160,"318, 384",527,1. 173.129
Aranzazu,Caldas,464,537.257,245,803. 126,709,"1,340. 383"
Armenia,Caldas,722,"2.100, 590",514,2. 788. 243,1. 236,4.888.833
Belalcazar,Caldas,296,989. 578,61,215. 231,357,1.204. 809
Belén de Umbría,Caldas,221,456.871,154,536. 198,375,993. 069
Calarcá,Caldas,374,1.442. 970,201,1.110. 388,575,2.553. 358
Chinchina,Caldas,214,396. 860,93,"596, 982",307,993. 842
Filandia,Caldas,372,365.413,122,"238, 338",494,603. 751
La Dorada,Caldas,282,836.060,505,2.623. 993,787,3. 460.053
Manzanares..,Caldas,847,1. 156.763,400,684. 627,1. 247,1.841. 390
Marsella,Caldas,242,479.698,162,665.618,404,"1,145. 316"
Neira,Caldas,95,"134, 230",68,432.913,163,567. 143
Pácora,Caldas,274,381.930,191,"636, 861",465,1. 018.791
Palestina,Caldas,95,"284, 280",35,265.544,130,549.824
Pensilvania.,Caldas,682,855.601,504,"638, 553",1.186,1. 494. 154
Pereira,Caldas,455,1.313. 366,510,3. 040. 022,965,4.353. 388
Pijao,Caldas,70,370.400,48,244. 330,118,614. 730
Quimbaya,Caldas,220,450. 333,123,394. 708,343,845. 041
Riosucio,Caldas,"1,535","877, 551",122,289.856,1.657,1.167. 407
Salamina,Caldas,427,469.401,324,"1. 096, 069",751,1. 565. 470
Santa Rosa de Cabal,Caldas,508,749.260,568,1. 703. 875,1. 076,"2, 453. 135"
Santuario,Caldas,219,368.946,150,390.961,369,759.907
POPAYAN,Cauca,816,"1. 191, 536",410,2. 374. 753,"1, 226","3. 566, 289"
Bolívar,Cauca,864,"1. 063, 382",456,547. 878,1. 320,"1,611: 260"
Caloto,Cauca,346,366.379,219,676.721,565,1. 043.100
el tambo,Cauca,576,333. 705,139,189.562,715,523. 267
Piendam6,Cauca,743,"616, 081",104,328. 087,847,"944, 168"
Puerto Tejada,Cauca,255,"407, 962",151,639.844,406,1. 047.806
Santander,Cauca,655,640. 583,169,474.315,824,1. 114.898
Timbio,Cauca,690,"604, 529",224,"310, 467",914,914. 996
MONTERIA.,Cordoba,479,1. 409.616,379,"3,657. 168",858,5. 066. 784
Ayapel,Cordoba,160,255.657,208,894. 296,368,"1, 149.953"
Cereté,Cordoba,483,1. 390. 151,440,2.620. 922,923,4. 011.073
Ciénaga de Oro,Cordoba,232,325. 964,272,"1, 106.730",504,"1, 432. 694"
Lorica,Cordoba,757,914. 409,661,"2, 750.596",1. 418,3.665. 005
Sahagún..,Cordoba,460,492. 475,578,2. 627. 846,1. 038,"3, 120, 321"
Tierralta,Cordoba,273,305. 500,233,909. 192,506,"1,214,692"
BOGOTA,Cundinamarca,824,3.692. 493,"1, 466",16. 392. 476,2. 290,20. 084.969
Anolaima,Cundinamarca,736,"1, 034. 133",294,838. 268,1. 030,1.872. 401
Arbelaez,Cundinamarca,756,974. 150,282,562. 509,1. 038,1.536.659
Cachipay,Cundinamarca,246,314. 810,61,245. 318,307,560. 128
Cáqueza,Cundinamarca,655,"721,975",131,296. 797,786,1. 018. 772
Chapinero,Cundinamarca,227,2. 060. 240,789,9. 395.131,1. 016,"11, 455. 371"
Chía,Cundinamarca,206,500.689,105,"431, 602",311,932. 291
Chocontá,Cundinamarca,1.510,"1.675, 708",234,686. 339,1. 744,2. 362. 047
El Colegio,Cundinamarca,454,"413, 478",167,409. 264,621,822. 742
Facatativa,Cundinamarca,711,1. 338.905,294,1.583. 124,1. 005,2.922. 029
Fómeque,Cundinamarca,373,556. 445,279,535.817,652,1. 092. 262
Fusagasugá..,Cundinamarca,541,720.550,552,"1,139. 309",1. 093,1. 859. 859
Gachalá,Cundinamarca,500,532. 048,83,"196, 215",583,728.263
Gachetá,Cundinamarca,1. 051,1.178. 163,388,970. 075,1. 439,"2. 148, 238"
Girardot,Cundinamarca,325,"1, 077.738",232,"2. 022, 362",557,3.100. 100
Guaduas,Cundinamarca,289,342. 702,150,"611, 524",439,954. 226
Guasca,Cundinamarca,239,220. 944,84,193. 548,323,414. 492
Guatavita,Cundinamarca,283,397. 725,63,"111,688",346,509.413
La Calera,Cundinamarca,280,404. 150,206,647. 990,486,1. 052.140
La Mesa,Cundinamarca,454,716. 317,143,787. 182,597,"1.503, 499"
La Palma,Cundinamarca,379,345.642,198,"559,369",577,905.011
La Peña,Cundinamarca,228,219. 330,61,182. 355,289,401.685
Medina,Cundinamarca,342,483. 446,493,425. 563,835,909. 009
Nocaima,Cundinamarca,167,"204,671",62,320.940,229,"525,611"
Pacho,Cundinamarca,822,959. 283,325,"1, 255. 186",1. 147,2.214. 469
Pasca,Cundinamarca,412,477. 566,203,360.944,615,838510
Rafael Reyes,Cundinamarca,281,195. 805,63,259.658,344,"455, 463"
San Francisco,Cundinamarca,400,615. 474,173,667. 940,573,"1. 283, 414"
San Juan de Rioseco,Cundinamarca,719,"1. 341, 102",146,641. 071,865,1. 982. 173
Sasaima,Cundinamarca,345,446. 130,156,507. 436,501,953. 566
Soacha,Cundinamarca,226,354. 350,108,309. 051,334,"663, 401"
Sopó,Cundinamarca,99,205. 135,65,251.748,164,456.883
Subachoque.,Cundinamarca,295,619. 234,141,430. 384,436,1. 049.618
Tocaima,Cundinamarca,255,481.963,73,409.523,328,"891,486"
Ubaté,Cundinamarca,986,1. 370.545,223,964.693,"1,209",2.335. 238
Une,Cundinamarca,977,1. 199.310,64,225.054,"1, 041",1. 424. 364
Utica,Cundinamarca,92,126. 150,53,183. 833,145,309.983
Vergara.,Cundinamarca,355,552. 385,127,371.871,482,924. 256
Villeta,Cundinamarca,223,"306, 487",173,711.652,396,1.018.139
Viotá,Cundinamarca,373,545. 565,156,397. 063,529,942. 628
Zipaquirá,Cundinamarca,358,716.468,100,698.768,458,1. 415.236
QUIBDO..,Choco,459,"91, 877",27,26.088,486,117. 965
El Carmen..,Choco,121,136.250,67,120. 249,188,256.499
NEIVA,Huila,929,2. 842. 609,755,3. 233. 365,1.684,6. 075.974
Acevedo,Huila,413,370.685,160,222. 471,573,593. 156
Baraya,Huila,178,356. 634,202,396. 085,380,752. 719
Carnecerías,Huila,216,234. 220,165,313. 999,381,"548,219"
Garzón,Huila,379,462.675,465,1.623. 379,844,2. 086. 054
Gigante,Huila,307,417.515,206,645. 019,513,"1, 062.534"
La Plata,Huila,473,531. 996,349,686. 859,822,"1.218, 855"
Palermo,Huila,263,459.197,188,549.537,451,1. 008. 734
Pitalito,Huila,559,631. 722,235,546.609,794,1. 178.331
"San Agustín,",Huila,238,267.013,147,325. 978,385,592. 991
Timaná,Huila,406,394. 380,142,268. 548,548,662. 928
Yaguara,Huila,341,780. 324,179,665. 243,520,I 445. 567
SANTA MARTA,Magdalena,454,1.299. 090,351,"2,081.581",805,3. 380.671
Aguachica,Magdalena,93,199.218,157,734. 084,250,933. 302
Ciénaga,Magdalena,302,610. 156,158,826. 157,460,1. 436. 313
Codazzi,Magdalena,95,477.008,108,553. 338,203,l. 030. 346
Chiriguana,Magdalena,191,262.658,204,599.412,395,862. 070
El Banco,Magdalena,130,234. 867,439,1. 386. 427,569,1.621.294
Fundación,Magdalena,242,804. 462,530,"3,383. 066",772,4.187. 528
Plato,Magdalena,251,480. 491,631,2. 419.238,882,2. 899.729
Valledupar,Magdalena,441,1.307. 112,571,2.671.543,1.012,3. 978.655
PASTO,Nariño,1. 564,1. 543.820,1. 395,3. 658. 351,2. 959,5. 202. 171
Contadero,Nariño,627,699.543,182,267.620,809,967. 163
Ipiales,Nariño,600,1. 307.857,262,1. 135. 406,862,2.443. 263
La Cruz..,Nariño,1150,1.579.596,97,326. 390,1.247,l. 905. 986
La Union,Nariño,"1, 083",1. 468.702,434,1. 004.495,"1,517",2. 473.197
Mocoa,Nariño,233,133.662,502,507. 233,735,640.895
Samaniego,Nariño,760,668. 795,322,"466,119","1, 082",1.134.914
Sandona,Nariño,692,652. 946,231,351. 074,923,1. 004.020
Tumaco,Nariño,86,69.660,49,90.231,135,159. 891
Túquerres,Nariño,481,643. 020,148,604. 186,629,1.247. 206
CUCUTA,Norte de Santander,576,"2, 007, 830",483,3. 708. 427,1059,"5, 716.257"
Arboledas,Norte de Santander,327,335.940,61,127.408,388,"463, 348"
Cachira..,Norte de Santander,543,426. 120,272,313. 347,815,739.967
Convención,Norte de Santander,434,554. 875,234,1. 295.228,668,1. 850. 103
Chinacota,Norte de Santander,176,200. 615,149,359.676,325,560. 291
Durania,Norte de Santander,400,l. 444. 490,66,375. 033,466,1. 819.523
Gramalote,Norte de Santander,432,566. 196,198,714. 37 l,630,"1, 280.567"
Ocaña,Norte de Santander,424,579.907,227,1.091.614,651,1.671. 521
Pamplona,Norte de Santander,864,"1, 180.654",551,1. 831.869,1.415.,"3.012, 523"
Salazar,Norte de Santander,333,449. 342,164,574. 022,497,"1, 023. 364"
Sardinata,Norte de Santander,439,691. 650,134,170.607,573,"862, 257"
Toledo,Norte de Santander,640,625. 740,205,310.212,845,935. 952
BUCARAMANGA,Santander,1. 790,3. 073.827,1.240,5. 894. 054,"3, 030",8. 967. 881
Barichara,Santander,287,304.655,68,190. 545,355,495.200
Barrancabermeja,Santander,118,163. 381,142,872. 026,260,1.035. 407
Cimitarra,Santander,109,133. 180,141,669. 527,250,802. 707
Charala,Santander,651,718.001,456,"831, 500",1.107,1. 549.501
Gámbita..,Santander,262,280. 998,243,389.907,505,670.905
Málaga,Santander,2. 258,"1. 722, 167",274,996. 357,2.532,"2. 718, 524"
Matanza,Santander,487,422. 350,238,286. 169,725,708.519
Onzaga,Santander,491,461. 335,85,147.205,576,"608, 540"
Piedecuesta..,Santander,602,418.497,159,248. 853,761,667. 350
Puente Nacional,Santander,288,"222, 261",700,887.531,988,l. 109. 792
Puerto Wilches,Santander,184,"371, 218",206,506.951,390,"878, 169"
Rionegro..,Santander,311,551. 167,291,622.112,602,"I. 173, 279"
San Andrés.,Santander,l. 002,724. 328,589,749. 574,"1,591","1, 473. 902"
San Gil,Santander,837,"947, 107",275,1. 320.866,1.112,2. 267.973
San Vicente..,Santander,305,544. 570,235,916. 375,540,"1, 460.945"
Socorro,Santander,699,920. 532,452,2. 869.357,1. 151,3. 789.889
Suaita,Santander,558,682. 260,184,546. 536,742,1.228. 796
Sucre,Santander,311,290.001,297,440. 988,608,730. 989
Surata,Santander,207,161. 850,148,"242, 323",355,404. 173
Vélez,Santander,267,288.011,222,613. 303,489,"901, 314"
Zapatoca,Santander,215,257. 160,168,809. 173,383,1.066. 333
IBAGUE,Tolima,828,1.749.290,830,4.672.818,1. 658,6.422. 108
Ambalema,Tolima,67,157.600,20,73. 150,87,230.750
Anzoátegui,Tolima,72,140540,42,107.521,114,248.061
Armero,Tolima,234,"852, 476",151,884. 446,385,"1,736. 922"
Ataco,Tolima,65,102.614,4,6.667,69,109.281
Cajamarca,Tolima,206,273. 000,193,"616, 491",399,889. 491
Cunday,Tolima,229,407. 072,100,383. 872,329,790.944
Chaparral,Tolima,572,830. 156,279,"854, 330",851,1.684. 486
Dolores,Tolima,229,408. 007,71,252. 169,300,660. 176
Espinal,Tolima,868,1.602. 426,193,"1,266. 091",1. 061,2. 868.517
El Guamo,Tolima,1. 317,1.223. 562,344,"1. 154, 912",1.661,"2, 378, 474"
Fresno,Tolima,431,438. 625,180,405. 347,611,843972
Herveo,Tolima,233,"362, 074",122,"275, 808",355,637. 882
Honda,Tolima,110,404. 983,185,1.272. 268,295,1.677.251
Icononzo,Tolima,946,"1, 375, 590",419,"790, 922",1. 365,2. 166. 512
Libano,Tolima,871,1538. 205,685,2. 305.133,1. 556,3.843. 338
Mariquita,Tolima,301,310. 245,157,579.816,458,890. 061
Melgar,Tolima,184,501. 055,127,934. 503,311,"1. 435,558"
Ortega,Tolima,384,501.451,72,284. 157,456,785.608
Purificación,Tolima,1.019,1. 408. 432,501,1.831. 848,1520,"3,240. 280"
Roncesvalles,Tolima,62,133. 445,111,537.202,173,670.647
Rovira,Tolima,621,"917, 256",314,912. 109,935,1. 829. 365
San Antonio..,Tolima,238,516. 095,99,307.809,337,823.904
San Luis,Tolima,473,427. 138,124,407.636,597,834. 774
Santa Isabel..,Tolima,85,148.230,123,304. 311,208,452. 541
Venadillo,Tolima,120,295. 172,99,340. 044,219,635.216
Villahermosa,Tolima,432,479. 388,232,436.254,664,915.642
Villarica,Tolima,238,359. 799,92,"231, 898",330,591.697
CALI..,Valle del Cauca,799,2. 509.727,770,6.596. 305,1.569,9. 106.032
Alcalá,Valle del Cauca,195,358. 541,25,55.540,220,414. 081
Buga..,Valle del Cauca,550,842. 151,529,"2,742. 629",1079,3.584. 780
Caicedonia,Valle del Cauca,162,593. 124,98,465.455,260,1. 058. 579
Cartago.,Valle del Cauca,472,1. 467.772,459,"3.486, 218",931,4. 953.990
Cerrito,Valle del Cauca,362,"583, 662",257,1. 129.670,619,1.713. 332
Dagua,Valle del Cauca,306,285. 471,141,362. 591,447,648. 062
El Aguila,Valle del Cauca,136,348. 400,123,347. 620,259,696.020
El Cairo..,Valle del Cauca,362,954.715,324,1. 029.513,686,1. 984.228
Palmira..,Valle del Cauca,747,1. 220. 174,426,2. 059.675,1.173,3. 279.849
Restrepo,Valle del Cauca,326,439. 488,141,613. 707,467,"1.053, 195"
Roldanillo,Valle del Cauca,610,836. 430,332,1.298. 349,942,2. 134. 779
Sevilla,Valle del Cauca,358,833. 950,390,1. 346. 163,748,2. 180. 113
Tuluá,Valle del Cauca,559,912. 360,522,2.686.981,1.081,3.599. 341
Trujillo,Valle del Cauca,213,540.989,405,"1, 480. 388",618,2. 021. 377
Versalles,Valle del Cauca,713,1. 127.350,378,1.293. 564,1. 091,2. 420.914
Zarzal,Valle del Cauca,130,238.270,116,593. 599,246,831. 869
ARAUCA,Arauca,91,159.856,790,"1,358. 428",881,1. 518.284
Tame,Arauca,83,127. 058,813,"1, 463.888",896,1.590. 946
RIOHACHA..,Guajira,312,466.217,122,426. 163,434,892. 380
San Juan del Cesar,Guajira,372,737.881,613,1.908. 719,985,"2,646.600"
Villanueva,Guajira,338,900. 300,244,1.134. 095,582,"2. 034, 395"
VILLAVICENCIO,Meta,910,2.972. 196,962,4.576.607,1. 872,7. 548.803
Guamal,Meta,457,"871,505",1. 257,1.221.580,1.714,2. 093. 085
Puerto López,Meta,253,301. 167,243,438. 240,496,739. 407
Restrepo,Meta,504,526. 254,1. 195,"1, 076.873",1.699,1.603. 127
San Martin,Meta,172,248.878,"1,229","944, 883",1. 401,"1.193, 761"
FLORENCIA,Caqueta,901,1. 100. 096,456,1. 290.215,1. 357,"2. 390, 311"
LETICIA,Amazonas,48,135. 561,37,80.294,85,215.855
MITU,Vaupes,157,626. 450,0,9,157,626.450
PUERTO CARREÑO,Vichada,42,118. 574,17,59.627,59,178. 201
SAN ANDRES,San Andres y Providencia,93,108. 150,16,22. 942,109,131. 092
