Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
San Francisco,Cundinamarca,472,"669.898,10",83,320.943.48,555,990.841.58
San Juan de Rioseco.,Cundinamarca,873,1.439.069.84,120,522.857.93,993,1.961.927.77
Sasaima,Cundinamarca,357,493.176.92,148,"369,927.69",505,863.104.61
Soacha,Cundinamarca,359,"582,391.96",101,295.171.84,460,"877.563,80"
Sopo,Cundinamarca,120,242.435.53,50,137.711.10,170,380.146.63
Subachoque,Cundinamarca,241,560.975.47,71,"286.823,73",312,847.799.20
Ubate,Cundinamarca,1.185,1.369.572.33,256,1.031.648.56,"1,441","2,401,220.89"
Une,Cundinamarca,887,892.640.00,112,292.565.72,999,1.185.205.72
Vergara..,Cundinamarca,592,749.373.35,116,194.794.16,708,944.167.51
Villeta,Cundinamarca,373,463.166.38,136,579.999.99,509,1.043.166.37
Viotá…,Cundinamarca,387,601.220.00,31,228.969.02,418,830.189.02
Zipaquira,Cundinamarca,375,630.890.00,119,570.087.76,494,"1,200.977.76"
QUIBDO..,Choco,480,106.776.75,49,63.624.33,529,170.401.08
NEIVA,Huila,950,1.860.695.17,774,2.505.642.03,1.724,4.366.337.20
Acevedo,Huila,502,396.013.00,96,161.207.11,598,557.220.11
Baraya,Huila,162,318.410.95,208,330.046.82,370,648.457.77
Carnecerías,Huila,182,127.755.00,154,261.692.26,336,389.447.26
Garzón,Huila,636,"751,978,85",660,2.045.553.74,1.296,"2.797.532,59"
La Plata,Huila,668,574.083.86,401,671.600.73,1.069,1.245.684.59
Palermo,Huila,394,521.649.98,176,"429.908,26",570,951.558.24
Pitalito,Huila,771,782.302.37,225,470.657.06,996,1.252.959.43
San Agustín..,Huila,297,338.340.00,92,281.509.61,389,619.849.61
Timana,Huila,403,"362,985.00",105,281.632.28,508,644.617.28
Yaguará..,Huila,552,882.386.67,169,661.156.61,721,"1,543.543.28"
SANTA MARTA.,Magdalena,422,1.253.878.62,220,1.403.842.84,642,2.657.721.46
Ciénaga,Magdalena,198,313.605.00,73,340.598.38,271,654.203.38
Chiriguana,Magdalena,347,538.671.82,356,1.088.135.09,703,1.626.806.91
El Banco,Magdalena,195,"441,111.09",495,1.684.468.76,690,2.125.579.85
Fundación,Magdalena,456,1.501.217.46,554,3.683.354.04,1.010,5.184.571.50
"Plato,.",Magdalena,233,546.028.23,586,2.388.460.26,819,2.934.488.49
Valledupar,Magdalena,957,2.038.778.27,886,3.436.294.58,1.843,5.475.072.85
PASTO,Nariño,1.744,1.598.781.03,"1,461",3.399.503.96,3.205,4.998.284.99
Contadero,Nariño,431,455.585.00,67,147.207.84,498,602.792.84
Ipiales,Nariño,585,1.041.081.91,239,724.989.43,824,1.766.071.34
La Cruz,Nariño,1.374,1.904.139.89,154,448.400.00,1.528,2.352.539.89
La Union,Nariño,1.147,"1,389.748.87",372,784.831.17,1.519,2.174.580.04
Mocoa,Nariño,172,72.794.68,482,483.778.02,654,556.572.70
Samaniego,Nariño,685,560.710.14,243,383.348.34,928,"944,058,48"
Sandona,Nariño,731,"667.453,40",199,257.575.92,930,925.029.32
Tuquerres,Nariño,643,683.056.94,162,483.263.77,805,1.166.320.71
CUCUTA,Norte de Santander,994,2.876.155.55,445,3.092.710.64,1.439,5.968.866.19
Arboledas,Norte de Santander,435,386.981.16,35,54.311.41,470,"441,292,57"
Cachira,Norte de Santander,605,462.285.00,258,378.179.50,863,840.464.50
Convención,Norte de Santander,728,1.049.891.76,312,1.942.823.89,1.040,2.992.715.65
Chinacota,Norte de Santander,293,305.420.00,184,478.890.85,477,"784.310,85"
Gramalote,Norte de Santander,417,500.933.00,122,256.342.55,539,757.275.55
Ocaña,Norte de Santander,607,933.516.81,459,2.210.513.59,"1,066",3.144.030.40
Pamplona,Norte de Santander,887,1.339.510.00,584,1.844.961.82,"1,471",3.184.471.82
Salazar,Norte de Santander,306,560.915.00,138,373.462.68,444,934.377.68
Sardinata,Norte de Santander,517,659.980.00,141,276.903.50,658,936.883.50
Toledo,Norte de Santander,749,682.665.94,266,382.102.67,1.015,1.064.768.61
BUCARAMANGA..,Santander,1.604,2.462.016.75,1.057,4.637.117.26,2.661,7.099.134.01
Barrancabermeja..,Santander,66,109.100.00,108,718.991.60,174,828.091.60
Charalá,Santander,1.232,1.179.948.89,733,1.222.135.67,1.965,2.402.084.56
Málaga,Santander,2.167,1.725.104.87,233,540.964.31,2.400,2.266.069.18
Matanza..,Santander,590,449.600.00,245,268.577.93,835,718.177.93.
Onzaga,Santander,670,649.525.00,45,80.150.00,715,"729.675,00"
Piedecuesta,Santander,585,357.879.79,177,335.578.19,762,693.457.98
Puente Nacional.,Santander,•617,524.486.58,783,966.372.72,1.400,1.490.859.30
Rionegro.,Santander,356,623.030.79,275,533.587.38,631,1.156.618.17
San Andrés,Santander,1.314,983.600.30,355,525.716.86.,1.669,1.509.317.16
San Gil,Santander,1.384,1.396.050.00,292,1.022.771.30,1.676,2.418.821.30
San Vicente,Santander,312,523.140.00,180,857.874.83,492,1.381.014.83
Socorro,Santander,813,943.383.19,345,1.938.839.59,1.158,2.882.222.78
Suaita,Santander,380,539.824.00,84,268.495.78,464,808.319.78
Suratá,Santander,285,239.035.00,144,138.629.81,429,377.664.81
Velez,Santander,440,411.866.45,367,958.695.32,807,1.370.561.77
Zapatoca.,Santander,205,218.215.00,154,450.094.22,359,668.309.22
IBAGUE,Tolima,1.861,3.152.726.13,1.275,5.754.458.76.,3.136,8.907.184.89
Anzoátegui,Tolima,168,311.514.67,64,174.503.70,232,486.018.37
Armero,Tolima,476,973.623.81,399•,"1,709.901.97",875,2.683.525.78
Ataco,Tolima,91,124.823.16,11,68.976.85,102,193.800.01
Cunday,Tolima,455,834.312.65,201,552.918.67,656,1.387.231.32
Chaparral,Tolima,481,807.417.17,363,1:024.851.36,844,1.832.268.53
Dolores,Tolima,280,357.120.65,120,345.439.12,400,702.559.77
Espinal,Tolima,694,"931.095,31",211,819.990.97,905,1.751.086.28
El Guamo.,Tolima,966,970.518.50,243,984.543.16,1.209,1.955.061.66
Fresno,Tolima,943,902.124.84,267,763.084.97,1.210,1.665.209.81
Herveo,Tolima,276,257.579.85,66,98.034.39,342,355.614.24
Honda,Tolima,212,469.467.63,221,1.312.733.13,433,1.782.200.76
Icononzo,Tolima,941,1.081.847.07,428,593.910.61,1.369,1.675.757.68
Libano,Tolima,888,1.338.096.94,722,2.014.259.29,1.610,3.352.356.23
Melgar,Tolima,184,"520,391.92",96,436.928.12,280,957.320.04
Ortega,Tolima,411,547.448.79,110,352.890.19,521,900.338.98
Purificacion,Tolima,970,1.399.204.77,434,1.374.163.07,1.404,2.773.367.84
Roncesvalles.,Tolima,85,252.747.72,112,502.524.66,197,755.272.38
San Antonio,Tolima,279,541.528.51,75,228.738.45,354,770.266.96
San Luis,Tolima,425,391.174.00,172,513.206.39,597,904.380.39
San Miguel de Perdomo,Tolima,395,436.670.00,209,.794.923.13,604,"1,231.593.13"
Santa Isabel,Tolima,223,351.020.95,190,503.538.10,413,854.559.05
Villahermosa,Tolima,558,588.890.00,249,369.201.05,807,958.091.05
CALI,Valle del Cauca,1.006,1.348.502.59,885,4.750.500.63,1.891,6.099.003.22
Buga,Valle del Cauca,603,749.469.57,410,1.618.269.76,1.013,2.367.739.33
Caicedonia,Valle del Cauca,257,892.782.89,156,498.868.44,413,1.391.651.33
Cartago,Valle del Cauca,937,2.424.908.67,480,"3,175.219.11",1.417,5.600.127.78
Cerrito,Valle del Cauca,441,561.381.76,296,969.140.29,737,1.530.522.05
El Aguila,Valle del Cauca,163,395.045.00,115,265.547.14,278,660.592.14
El Cairo,Valle del Cauca,539,1.016.375.82,303,443.947.42,842,1.460.323.24
Palmira,Valle del Cauca,880,1.147.485.44.,504,1.990.190.52,1.384,3.137.675.96
Restrepo,Valle del Cauca,328,408.045.00,116,339.523.11,444,747.568.11
