,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
110,ituango,antioquia,1959,624,955385,132,533852,4,30900,760,1520137
111,ituango,antioquia,1960,573,939102,112,423693,7,45373,692,1408168
112,jardin,antioquia,1956,141,20372700,179,58959388,0,0,320,79332088
113,jardin,antioquia,1957,140,225640,194,693324,0,0,334,918964
114,jardin,antioquia,1958,130,236190,163,598940,51,204136,344,1039266
115,jardin,antioquia,1959,158,303115,203,659400,57,250726,418,1213241
116,jardin,antioquia,1960,176,410230,187,561737,61,235358,424,1207325
117,jerico,antioquia,1952,366,72579000,84,24949323,0,0,450,97528323
118,jerico,antioquia,1953,317,67521791,75,22102976,0,0,392,89624767
119,jerico,antioquia,1954,308,67981131,74,35678933,0,0,382,103660064
120,jerico,antioquia,1955,290,74638000,130,46503451,0,0,420,121141451
121,jerico,antioquia,1956,304,86332200,157,53970963,0,0,461,140303163
122,jerico,antioquia,1957,282,861035,151,635163,0,0,433,1496198
123,jerico,antioquia,1958,252,916137,108,362337,63,232811,423,1511285
124,jerico,antioquia,1959,334,1059260,137,514293,57,196825,528,1770378
125,jerico,antioquia,1960,341,1054555,131,544226,49,158886,521,1757667
126,la ceja,antioquia,1955,226,32501391,131,37100164,0,0,357,69601555
127,la ceja,antioquia,1956,255,34964691,285,86546781,0,0,540,121511472
128,la ceja,antioquia,1957,282,389980,387,1133591,0,0,669,1523571
129,la ceja,antioquia,1958,323,654286,338,684692,74,407400,735,1746378
130,la ceja,antioquia,1959,309,662659,356,732316,79,369527,744,1764502
131,la ceja,antioquia,1960,371,961590,360,786594,81,332525,812,2080709
132,liborina,antioquia,1952,505,34413002,48,8236790,0,0,553,42649792
133,liborina,antioquia,1953,641,43064745,93,14488800,0,0,734,57543545
134,liborina,antioquia,1954,645,49672322,125,26077841,0,0,770,75750163
135,liborina,antioquia,1955,502,43227448,129,28488017,0,0,631,71715465
136,liborina,antioquia,1956,491,47634500,159,33300113,0,0,650,80934613
137,liborina,antioquia,1957,435,430091,181,545346,0,0,616,975437
138,liborina,antioquia,1958,440,445785,164,449689,60,243590,664,1139064
139,liborina,antioquia,1959,466,482747,164,414614,59,227449,689,1124810
140,liborina,antioquia,1960,471,477413,172,373514,55,188382,698,1039309
141,marinilla,antioquia,1953,431,22112149,71,10143700,0,0,502,32255849
142,marinilla,antioquia,1954,568,31621944,173,15610332,0,0,741,47232276
143,marinilla,antioquia,1955,840,52801048,283,22821098,0,0,1123,75622146
144,marinilla,antioquia,1956,932,63220727,489,43956159,0,0,1421,107176886
145,marinilla,antioquia,1957,475,336806,232,308105,0,0,707,644911
146,marinilla,antioquia,1958,523,367504,286,309624,136,419558,945,1096686
147,marinilla,antioquia,1959,510,390477,359,363227,130,386681,999,1140385
148,marinilla,antioquia,1960,523,454419,340,279509,125,351089,988,1085017
149,medellin,antioquia,1952,1792,292166458,725,375507315,0,0,2517,667673773
150,medellin,antioquia,1953,2003,331250842,959,261814141,0,0,2962,593064983
151,medellin,antioquia,1954,1801,59640173,960,588812363,0,0,2761,648452536
152,medellin,antioquia,1955,1935,363266814,1592,976321308,0,0,3527,1339588122
153,medellin,antioquia,1956,1874,312205350,1922,1124727076,0,0,3796,1436932426
154,medellin,antioquia,1957,1798,2900272,2066,12126714,0,0,3864,15026986
155,medellin,antioquia,1958,1729,3602377,1680,10128946,509,3193464,3918,16924787
156,medellin,antioquia,1959,1760,3846063,1816,12795958,505,3099169,4081,19741190
157,medellin,antioquia,1960,2050,6844994,2070,15997220,477,2680547,4597,25522761
158,puerto berrio,antioquia,1958,44,216730,55,528468,0,0,99,745198
159,puerto berrio,antioquia,1959,44,177000,129,798763,0,0,173,975763
160,puerto berrio,antioquia,1960,49,205440,131,888591,0,0,180,1094031
161,remedios,antioquia,1955,100,14145299,123,49846737,0,0,223,63992036
162,remedios,antioquia,1956,58,8648934,116,38818959,0,0,174,47467893
163,remedios,antioquia,1957,96,155931,113,349853,0,0,209,505784
164,remedios,antioquia,1958,109,224408,94,461209,5,26826,208,712443
165,remedios,antioquia,1959,193,301715,222,857680,5,25593,420,1184988
166,remedios,antioquia,1960,165,269346,238,876851,9,74207,412,1220404
167,rionegro,antioquia,1952,989,55074959,162,47338272,0,0,1151,102413231
168,rionegro,antioquia,1953,417,34007640,122,40304745,0,0,539,74312385
169,rionegro,antioquia,1954,435,40655627,204,48037678,0,0,639,88693105
170,rionegro,antioquia,1955,299,23198142,243,51171959,0,0,542,74370101
171,rionegro,antioquia,1956,299,19388450,287,53018074,0,0,586,72406524
172,rionegro,antioquia,1957,369,214989,291,563073,0,0,660,778062
173,rionegro,antioquia,1958,344,211173,332,488716,68,257193,744,957082
174,rionegro,antioquia,1959,392,256478,384,483724,61,212180,837,952382
175,rionegro,antioquia,1960,383,287412,474,601295,55,184701,912,1073408
176,salgar,antioquia,1956,171,63295000,86,75572072,0,0,257,138867072
177,salgar,antioquia,1957,129,510250,127,1075912,0,0,256,1586162
178,salgar,antioquia,1958,113,543350,105,596903,40,462606,258,1602859
179,salgar,antioquia,1959,108,543590,106,547843,41,413868,255,1505301
180,salgar,antioquia,1960,138,680471,98,516663,36,347635,272,1544769
181,san carlos,antioquia,1959,308,421990,307,586232,1,3228,616,1011450
182,san carlos,antioquia,1960,418,522892,422,649370,1,2575,841,1174837
183,san roque,antioquia,1956,226,14995088,67,21068011,0,0,293,36063099
184,san roque,antioquia,1957,210,106320,134,369499,0,0,344,475819
185,san roque,antioquia,1958,212,122695,149,430614,29,83169,390,636478
186,san roque,antioquia,1959,307,190734,186,455785,29,77260,522,723779
187,san roque,antioquia,1960,278,247426,216,444168,27,68607,521,760201
188,santa barbara,antioquia,1956,203,38571100,83,35762004,0,0,286,74333104
189,santa barbara,antioquia,1957,188,372067,83,307635,0,0,271,679702
190,santa barbara,antioquia,1958,216,442238,58,139920,47,195598,321,777756
191,santa barbara,antioquia,1959,308,604034,83,247705,50,212973,441,1064712
192,santa barbara,antioquia,1960,294,531358,92,277267,47,191967,433,1000592
193,santa rosa de osos,antioquia,1952,99,8041305,311,76487726,0,0,410,84529031
194,santa rosa de osos,antioquia,1953,122,10437846,385,82845105,0,0,507,93282951
195,santa rosa de osos,antioquia,1954,139,11747351,455,95904700,0,0,594,107652051
196,santa rosa de osos,antioquia,1955,140,13182707,450,125952143,0,0,590,139134850
197,santa rosa de osos,antioquia,1956,164,20190482,451,105295367,0,0,615,125485849
198,santa rosa de osos,antioquia,1957,142,150463,427,1048770,0,0,569,1199233
199,santa rosa de osos,antioquia,1958,106,130763,435,1312057,13,68824,554,1511644
200,santa rosa de osos,antioquia,1959,98,129231,431,1376696,12,55877,541,1561804
201,santa rosa de osos,antioquia,1960,156,344853,406,1229509,13,58290,575,1632652
202,santafe de antioquia,antioquia,1958,367,370315,59,208805,26,101093,452,680213
203,santafe de antioquia,antioquia,1959,371,332885,88,213302,24,85405,483,631592
204,santafe de antioquia,antioquia,1960,339,357368,106,267635,22,79519,467,704522
205,santuario,antioquia,1957,580,391860,324,262754,0,0,904,654614
206,santuario,antioquia,1958,511,399131,327,269522,57,137823,895,806476
207,santuario,antioquia,1959,560,542788,371,350864,55,122914,986,1016566
208,santuario,antioquia,1960,576,511726,458,504834,54,130652,1088,1147212
209,sonson,antioquia,1952,929,70364633,107,26875645,0,0,1036,97240278
210,sonson,antioquia,1953,830,55160261,119,17532067,0,0,949,72692328
211,sonson,antioquia,1954,915,69299700,108,22314718,0,0,1023,91614418
212,sonson,antioquia,1955,770,55609037,112,18953077,0,0,882,74562114
213,sonson,antioquia,1956,665,52454643,112,22225609,0,0,777,74680252
214,sonson,antioquia,1957,627,542377,81,164599,0,0,708,706976
215,sonson,antioquia,1958,664,680510,60,134282,121,287600,845,1102392
216,sonson,antioquia,1959,672,651585,72,169502,128,311768,872,1132855
217,sonson,antioquia,1960,627,658234,87,242268,125,289631,839,1190133
218,sopetran,antioquia,1952,582,29164038,36,9846193,0,0,618,39010231
219,sopetran,antioquia,1953,652,41426223,62,18976570,0,0,714,60402793
220,sopetran,antioquia,1954,725,58240700,87,40468100,0,0,812,98708800
221,sopetran,antioquia,1955,829,69586500,137,62965439,0,0,966,132551939
222,sopetran,antioquia,1956,625,56689256,129,60420128,0,0,754,117109384
223,sopetran,antioquia,1957,580,457407,193,782760,0,0,773,1240167
224,sopetran,antioquia,1958,667,598668,140,416578,77,408165,884,1423411
225,sopetran,antioquia,1959,613,530060,175,509905,85,423151,873,1463116
226,sopetran,antioquia,1960,527,511399,164,492319,91,378876,782,1382594
227,tamesis,antioquia,1952,848,85139634,281,43329125,0,0,1129,128468759
228,tamesis,antioquia,1953,721,72125100,280,40666590,0,0,1001,112791690
229,tamesis,antioquia,1954,774,78901116,239,41695251,0,0,1013,120596367
230,tamesis,antioquia,1955,888,76261852,238,48004201,0,0,1126,124266053
231,tamesis,antioquia,1956,757,75777375,242,55213864,0,0,999,130991239
232,tamesis,antioquia,1957,617,950474,199,585846,0,0,816,1436320
233,tamesis,antioquia,1958,558,824701,133,453837,118,500295,809,1778833
234,tamesis,antioquia,1959,552,798404,149,489004,105,409970,806,1697378
235,tamesis,antioquia,1960,646,1039289,152,445160,93,325487,891,1809936
236,titiribl,antioquia,1960,207,714215,70,576050,19,78191,296,1368456
237,turbo,antioquia,1952,235,10454401,41,19672525,0,0,276,30126926
238,turbo,antioquia,1953,239,13223584,63,24186642,0,0,302,37410226
239,turbo,antioquia,1954,301,18467714,129,38061710,0,0,430,56529424
240,turbo,antioquia,1955,289,17625229,169,55965690,0,0,458,73590919
241,turbo,antioquia,1956,288,23670271,185,60927067,0,0,473,84597338
242,turbo,antioquia,1957,230,181488,185,536408,0,0,415,717896
243,turbo,antioquia,1958,288,351397,198,798015,0,0,486,1149412
