,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
169,arboledas,norte de santander,435,38698116,35,5431141,0,0,470,44129257
170,cachira,norte de santander,605,46228500,258,37817950,0,0,863,84046450
171,convencion,norte de santander,728,104989176,312,194282389,0,0,1040,299271565
172,chinacota,norte de santander,293,30542000,184,47889085,0,0,477,78431085
173,gramalote,norte de santander,417,50093300,122,25634255,0,0,539,75727555
174,ocaña,norte de santander,607,93351681,459,221051359,0,0,1066,314403040
175,pamplona,norte de santander,887,133951000,584,184496182,0,0,1471,318447182
176,salazar,norte de santander,306,56091500,138,37346268,0,0,444,93437768
177,sardinata,norte de santander,517,65998000,141,27690350,0,0,658,93688350
178,toledo,norte de santander,749,68266594,266,38210267,0,0,1015,106476861
179,bucaramanga,santander,1604,246201675,1057,463711726,0,0,2661,709913401
180,barrancabermeja,santander,66,10910000,108,71899160,0,0,174,82809160
181,charala,santander,1232,117994889,733,122213567,0,0,1965,240208456
182,malaga,santander,2167,172510487,233,54096431,0,0,2400,226606918
183,matanza,santander,590,44960000,245,26857793,0,0,835,71817793
184,onzaga,santander,670,64952500,45,8015000,0,0,715,72967500
185,piedecuesta,santander,585,35787979,177,33557819,0,0,762,69345798
186,puente nacional,santander,617,52448658,783,96637272,0,0,1400,149085930
187,rionegro,santander,356,62303079,275,53358738,0,0,631,115661817
188,san andres,santander,1314,98360030,355,52571686,0,0,1669,150931716
189,san gil,santander,1384,139605000,292,102277130,0,0,1676,241882130
190,san vicente,santander,312,52314000,180,85787483,0,0,492,138101483
191,socorro,santander,813,94338319,345,193883959,0,0,1158,288222278
192,suaita,santander,380,53982400,84,26849578,0,0,464,80831978
193,surata,santander,285,23903500,144,13862981,0,0,429,37766481
194,velez,santander,440,41186645,367,95869532,0,0,807,137056177
195,zapatoca,santander,205,21821500,154,45009422,0,0,359,66830922
196,ibague,tolima,1861,315272613,1275,575445876,0,0,3136,890718489
197,anzoategui,tolima,168,31151467,64,17450370,0,0,232,48601837
198,armero,tolima,476,97362381,399,170990197,0,0,875,268352578
199,ataco,tolima,91,12482316,11,6897685,0,0,102,19380001
200,cunday,tolima,455,83431265,201,55291867,0,0,656,138723132
201,chaparral,tolima,481,80741717,363,102485136,0,0,844,183226853
202,dolores,tolima,280,35712065,120,34543912,0,0,400,70255977
203,espinal,tolima,694,93109531,211,81999097,0,0,905,175108628
204,el guamo,tolima,966,97051850,243,98454316,0,0,1209,195506166
205,fresno,tolima,943,90212484,267,76308497,0,0,1210,166520981
206,herveo,tolima,276,25757985,66,9803439,0,0,342,35561424
207,honda,tolima,212,46946763,221,131273313,0,0,433,178220076
208,icononzo,tolima,941,108184707,428,59391061,0,0,1369,167575768
209,libano,tolima,888,133809694,722,201425929,0,0,1610,335235623
210,melgar,tolima,184,52039192,96,43692812,0,0,280,95732004
211,ortega,tolima,411,54744879,110,35289019,0,0,521,90033898
212,purificacion,tolima,970,139920477,434,137416307,0,0,1404,277336784
213,roncesvalles,tolima,85,25274772,112,50252466,0,0,197,75527238
214,san antonio,tolima,279,54152851,75,22873845,0,0,354,77026696
215,san luis,tolima,425,39117400,172,51320639,0,0,597,90438039
216,san miguel de perdomo,tolima,395,43667000,209,79492313,0,0,604,123159313
217,santa isabel,tolima,223,35102095,190,50353810,0,0,413,85455905
218,villahermosa,tolima,558,58889000,249,36920105,0,0,807,95809105
219,cali,valle del cauca,1006,134850259,885,475050063,0,0,1891,609900322
220,buga,valle del cauca,603,74946957,410,161826976,0,0,1013,236773933
221,caicedonia,valle del cauca,257,89278289,156,49886844,0,0,413,139165133
222,cartago,valle del cauca,937,242490867,480,317521911,0,0,1417,560012778
223,cerrito,valle del cauca,441,56138176,296,96914029,0,0,737,153052205
224,el aguila,valle del cauca,163,39504500,115,26554714,0,0,278,66059214
225,el cairo,valle del cauca,539,101637582,303,44394742,0,0,842,146032324
226,palmira,valle del cauca,880,114748544,504,199019052,0,0,1384,313767596
227,restrepo,valle del cauca,328,40804500,116,33952311,0,0,444,74756811
228,roldanillo,valle del cauca,781,88307198,402,119419189,0,0,1183,207726387
229,sevilla,valle del cauca,503,112067900,436,138522593,0,0,939,250590493
230,tulua,valle del cauca,865,139867300,558,259838274,0,0,1423,399705574
231,trujillo,valle del cauca,388,72657232,499,137144688,0,0,887,209801920
232,versalles,valle del cauca,728,109337312,334,86202581,0,0,1062,195539893
233,riohacha,guajira,318,48386838,147,41327398,0,0,465,89714236
234,san juan del cesar,guajira,559,103812872,585,169380191,0,0,1144,273193063
235,villanueva,guajira,555,125298882,271,124131019,0,0,826,249429901
236,arauca,arauca,159,43052000,1133,203064852,0,0,1292,246116852
237,tame,arauca,84,15506000,556,89995025,0,0,640,105501025
238,villavicencio,meta,864,365993381,972,360785860,0,0,1836,726779241
239,guamal,meta,357,74595252,1285,119122488,0,0,1642,193717740
240,puerto lopez,meta,218,86671000,245,52468500,0,0,463,139139500
241,restrepo,meta,446,42439750,1357,98703065,0,0,1803,141142815
242,san martin,meta,374,83189273,1425,111600319,0,0,1799,194789592
243,florencia,caqueta,1357,151850407,491,145118002,0,0,1848,296968409
244,leticia,amazonas,11,1655000,18,8192400,0,0,29,9847400
245,mitu,vaupes,42,12100000,0,0,0,0,42,12100000
246,puerto carreño,vichada,6,2370000,5,1810000,0,0,11,4180000
247,san andres,san andres y providencia,103,5979176,23,2861903,0,0,126,8841079
