,codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,alf_A2018,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
61,5483.0,Nariño,Antioquia,360,19.62,57,8.99,40,2.65,457,31.26,1,2753,3817.0,6162,7567,96.9,1,19.62,8.99,2.65,31.26
62,5490.0,Necoclí,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,97.2,0,0.0,0.0,0.0,0.0
63,5495.0,Nechí,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,582,0.0,1376,0,98.6,0,0.0,0.0,0.0,0.0
64,5501.0,Olaya,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3757,4333.0,5485,6473,98.6,0,0.0,0.0,0.0,0.0
65,5541.0,Peñol,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1433,0.0,9734,14968,99.3,0,0.0,0.0,0.0,0.0
66,5543.0,Peque,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,8759,8202.0,10576,15438,93.1,0,0.0,0.0,0.0,0.0
67,5576.0,Pueblorrico,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,116541,241779.0,523517,0,98.5,0,0.0,0.0,0.0,0.0
68,5579.0,Puerto Berrío,Antioquia,257,31.58,496,111.11,1,0.02,754,142.71,1,0,0.0,0,0,99.8,4,7.895,27.7775,0.005,35.6775
69,5585.0,Puerto Nare,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,99.5,0,0.0,0.0,0.0,0.0
70,5591.0,Puerto Triunfo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3112,0.0,5918,0,99.2,0,0.0,0.0,0.0,0.0
71,5604.0,Remedios,Antioquia,931,3527.72,1167,13467.44,28,17.06,2126,17012.23,1,1945,0.0,1988,0,99.9,7,503.96,1923.92,2.437142857,2430.318571
72,5607.0,Retiro,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4592,4611.0,5388,5545,99.9,0,0.0,0.0,0.0,0.0
73,5628.0,Sabanalarga,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4657,5457.0,6963,0,99.5,0,0.0,0.0,0.0,0.0
74,5631.0,Sabaneta,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6557,0.0,6825,0,100.0,0,0.0,0.0,0.0,0.0
75,5642.0,Salgar,Antioquia,804,3757.09,676,4492.74,144,59.06,1624,8308.87,1,193,546.0,1625,2935,95.5,6,626.1816667,748.79,9.843333333,1384.811667
76,5647.0,San Andrés de Cuerquía,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,11424,0.0,19536,0,99.3,0,0.0,0.0,0.0,0.0
77,5649.0,San Carlos,Antioquia,1118,70.68,1195,88.15,3,0.37,2316,159.2,1,5711,5817.0,6821,8262,99.5,3,23.56,29.38333333,0.123333333,53.06666667
78,5652.0,San Francisco,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3102,0.0,4017,0,93.1,0,0.0,0.0,0.0,0.0
79,5656.0,San Jerónimo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1357,485.0,2268,3196,100.0,0,0.0,0.0,0.0,0.0
80,5658.0,San José de La Montaña,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,9127,0.0,20745,0,99.8,0,0.0,0.0,0.0,0.0
81,5659.0,San Juan de Urabá,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,97.6,0,0.0,0.0,0.0,0.0
82,5660.0,San Luis,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1901,0.0,2658,0,99.2,0,0.0,0.0,0.0,0.0
83,5664.0,San Pedro,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6384,5199.0,5249,5033,99.1,0,0.0,0.0,0.0,0.0
84,5665.0,San Pedro de Uraba,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,97.4,0,0.0,0.0,0.0,0.0
85,5667.0,San Rafael,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,9495,9004.0,17852,7172,99.4,0,0.0,0.0,0.0,0.0
86,5670.0,San Roque,Antioquia,1546,1024.08,1047,1489.37,119,19.86,2712,2533.31,1,1186,0.0,3019,0,99.3,6,170.68,248.2283333,3.31,422.2183333
87,5674.0,San Vicente,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3005,5513.0,6854,7605,99.7,0,0.0,0.0,0.0,0.0
