,Cod Dep,cod_mpio,Oficina,Departamento,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
126,41,41797,carnecerias,huila,1954,3265.99,165,3500.38,132,6712.28,0,0.0,297,10212.66
127,41,41298,garzon,huila,1954,14862.5,882,6109.3,507,8188.4,0,0.0,1389,14297.7
128,41,41396,la plata,huila,1954,10433.78,578,4124.7,356,5873.72,0,0.0,934,9998.42
129,41,41001,neiva,huila,1954,44477.4,971,3678.46,763,4067.07,0,0.0,1734,7745.53
130,41,41524,palermo,huila,1954,6464.64,450,7797.88,187,4258.39,0,0.0,637,12056.27
131,41,41551,pitalito,huila,1954,17594.5,893,4171.86,211,2286.4,0,0.0,1104,6458.27
132,41,41668,san agustin,huila,1954,4077.07,308,8184.69,72,4531.45,0,0.0,380,12716.14
133,41,41885,yaguara,huila,1954,2823.37,397,27420.27,122,15297.3,0,0.0,519,42717.57
134,47,20178,chiriguana,magdalena,1954,4879.56,303,8132.93,312,17206.42,0,0.0,615,25339.35
135,47,47245,el banco,magdalena,1954,19729.52,190,2575.79,445,5633.46,0,0.0,635,8209.25
136,47,47288,fundacion,magdalena,1954,4074.8,460,33837.92,480,53976.3,0,0.0,940,87814.23
137,47,47555,plato,magdalena,1954,11762.66,276,4601.18,530,14405.74,0,0.0,806,19006.91
138,47,47001,santa marta,magdalena,1954,44248.04,597,2083.59,209,2199.17,0,0.0,806,4282.76
139,47,20001,valledupar,magdalena,1954,17830.11,1182,14101.52,846,16247.01,0,0.0,2028,30348.54
140,50,50001,villavicencio,meta,1954,14540.75,1934,29370.06,5445,34793.34,0,0.0,7379,64163.4
141,52,52356,ipiales,nariño,1954,24331.74,778,3666.58,256,2291.9,0,0.0,1034,5958.48
142,52,52378,la cruz,nariño,1954,9017.48,1179,14702.86,152,4472.18,0,0.0,1331,19175.04
143,52,52399,la union,nariño,1954,10303.76,975,9182.31,305,5058.39,0,0.0,1280,14240.7
144,52,52001,pasto,nariño,1954,65094.83,1733,2172.83,1246,3622.81,0,0.0,2979,5795.65
145,52,52678,samaniego,nariño,1954,12138.9,533,3124.26,162,1663.42,0,0.0,695,4787.69
146,52,52683,sandona,nariño,1954,11513.28,545,3627.42,168,1682.12,0,0.0,713,5309.55
147,52,52838,tuquerres,nariño,1954,13920.83,633,3440.43,167,2424.85,0,0.0,800,5865.29
148,54,54051,arboledas,norte de santander,1954,11763.47,378,2542.45,36,197.82,0,0.0,414,2740.27
149,54,54128,cachira,norte de santander,1954,7449.44,551,4912.06,198,3149.61,0,0.0,749,8061.66
150,54,54172,chinacota,norte de santander,1954,8838.95,343,4212.25,123,2831.28,0,0.0,466,7043.53
151,54,54206,convencion,norte de santander,1954,14740.94,681,5522.49,329,8886.4,0,0.0,1010,14408.89
152,54,54001,cucuta,norte de santander,1954,75264.09,842,3091.84,319,2425.36,0,0.0,1161,5517.2
153,54,54313,gramalote,norte de santander,1954,12420.28,274,2461.07,60,662.9,0,0.0,334,3123.97
154,54,54498,ocaña,norte de santander,1954,33370.16,668,3688.64,432,6177.79,0,0.0,1100,9866.43
155,54,54518,pamplona,norte de santander,1954,22561.85,853,4267.12,420,4126.72,0,0.0,1273,8393.85
156,54,54660,salazar,norte de santander,1954,11544.76,390,4054.3,114,1788.89,0,0.0,504,5843.19
157,54,54720,sardinata,norte de santander,1954,12369.86,415,4539.69,87,827.66,0,0.0,502,5367.35
158,54,54820,toledo,norte de santander,1954,11224.85,801,5382.53,238,2095.15,0,0.0,1039,7477.69
159,86,86001,mocoa,putumayo,1954,2254.61,184,3292.41,441,17876.09,0,0.0,625,21168.5
160,88,88001,san andres,san andres y providencia,1954,2675.95,75,1697.9,17,669.07,0,0.0,92,2366.97
161,68,68081,barrancabermeja,santander,1954,7699.88,29,645.51,43,3266.83,0,0.0,72,3912.34
162,68,68001,bucaramanga,santander,1954,104098.44,1239,1531.17,707,2107.18,0,0.0,1946,3638.35
163,68,68167,charala,santander,1954,10291.06,1085,8786.83,623,8975.89,0,0.0,1708,17762.72
164,68,68432,malaga,santander,1954,12534.12,1887,10456.04,151,1958.62,0,0.0,2038,12414.66
165,68,68444,matanza,santander,1954,6875.8,533,4602.76,173,2482.63,0,0.0,706,7085.39
166,68,68547,piedecuesta,santander,1954,15393.34,566,1900.05,133,972.87,0,0.0,699,2872.92
167,68,68572,puente nacional,santander,1954,13733.88,551,2932.85,847,6935.45,0,0.0,1398,9868.3
168,68,68615,rionegro,santander,1954,17735.12,347,2341.94,170,1149.73,0,0.0,517,3491.67
169,68,68669,san andres,santander,1954,15365.54,1056,4799.09,337,2083.0,0,0.0,1393,6882.08
170,68,68679,san gil,santander,1954,18065.3,1306,7214.78,283,3744.69,0,0.0,1589,10959.47
171,68,68689,san vicente,santander,1954,46125.4,308,897.75,130,1114.26,0,0.0,438,2012.0
172,68,68755,socorro,santander,1954,11343.16,997,9268.83,307,10321.84,0,0.0,1304,19590.67
173,68,68780,surata,santander,1954,4967.36,230,2984.66,121,2546.83,0,0.0,351,5531.49
174,68,68861,velez,santander,1954,12615.02,562,3685.55,358,5723.89,0,0.0,920,9409.44
175,68,68895,zapatoca,santander,1954,11178.17,206,1598.1,105,2229.19,0,0.0,311,3827.29
176,73,73055,armero,tolima,1954,19243.04,496,5791.21,300,7153.25,0,0.0,796,12944.46
177,73,73067,ataco,tolima,1954,4903.92,176,4413.68,10,550.84,0,0.0,186,4964.52
178,73,73168,chaparral,tolima,1954,14598.87,560,4383.83,331,3613.48,0,0.0,891,7997.31
179,73,73236,dolores,tolima,1954,12748.29,199,1994.25,96,2052.09,0,0.0,295,4046.34
180,73,73319,el guamo,tolima,1954,19310.91,808,3548.51,175,2965.46,0,0.0,983,6513.98
181,73,73268,espinal,tolima,1954,27981.61,763,2598.19,206,2627.8,0,0.0,969,5225.99
182,73,73283,fresno,tolima,1954,17873.88,1028,5111.32,253,3654.2,0,0.0,1281,8765.52
183,73,73347,herveo,tolima,1954,9470.24,178,1149.44,49,622.98,0,0.0,227,1772.42
184,73,73349,honda,tolima,1954,13638.51,471,6510.88,288,9875.22,0,0.0,759,16386.09
185,73,73001,ibague,tolima,1954,92603.2,1247,2206.97,741,3242.51,0,0.0,1988,5449.48
186,73,73352,icononzo,tolima,1954,7180.34,970,12760.4,413,6641.09,0,0.0,1383,19401.49
187,73,73411,libano,tolima,1954,24305.85,1058,5352.3,540,5072.99,0,0.0,1598,10425.3
188,73,73449,melgar,tolima,1954,4195.03,573,24255.4,212,13574.41,0,0.0,785,37829.81
189,73,73504,ortega,tolima,1954,20015.1,533,2630.84,127,1715.35,0,0.0,660,4346.19
190,73,73585,purificacion,tolima,1954,12938.54,1110,10698.4,370,8568.28,0,0.0,1480,19266.68
191,73,73622,roncesvalles,tolima,1954,1941.17,91,8454.53,94,17828.43,0,0.0,185,26282.95
192,73,73624,rovira,tolima,1954,14904.96,654,6513.81,311,4584.15,0,0.0,965,11097.96
193,73,73675,san antonio,tolima,1954,10102.96,216,3082.85,51,1490.26,0,0.0,267,4573.1
194,73,73678,san luis,tolima,1954,7236.4,450,4455.64,98,3438.32,0,0.0,548,7893.96
195,73,73124,san miguel de perdomo,tolima,1954,12422.12,315,2782.4,173,4724.75,0,0.0,488,7507.14
196,73,73686,santa isabel,tolima,1954,6581.06,225,4140.01,120,4187.83,0,0.0,345,8327.84
197,73,73870,villahermosa,tolima,1954,10111.94,426,3437.37,163,1615.79,0,0.0,589,5053.16
198,76,76113,buga,valle del cauca,1954,14893.73,557,3247.22,372,7193.15,0,0.0,929,10440.36
199,76,76122,caicedonia,valle del cauca,1954,3402.66,276,24113.99,159,12773.92,0,0.0,435,36887.91
200,76,76001,cali,valle del cauca,1954,275293.51,1298,537.87,775,1145.05,0,0.0,2073,1682.92
201,76,76147,cartago,valle del cauca,1954,77737.71,1003,2750.13,322,2482.82,0,0.0,1325,5232.96
202,76,76248,cerrito,valle del cauca,1954,13641.03,408,2932.35,231,5202.38,0,0.0,639,8134.73
203,76,76243,el aguila,valle del cauca,1954,7005.77,158,5050.94,89,2212.77,0,0.0,247,7263.71
204,76,76246,el cairo,valle del cauca,1954,7826.9,487,8745.97,313,4088.05,0,0.0,800,12834.02
205,76,76520,palmira,valle del cauca,1954,83529.34,746,907.17,392,1368.85,0,0.0,1138,2276.01
206,76,76622,roldanillo,valle del cauca,1954,16461.96,1096,6366.21,609,5874.49,0,0.0,1705,12240.7
207,76,76736,sevilla,valle del cauca,1954,33049.03,462,3201.82,358,3010.9,0,0.0,820,6212.72
208,76,76828,trujillo,valle del cauca,1954,25071.34,389,2057.85,284,1871.06,0,0.0,673,3928.91
209,76,76834,tulua,valle del cauca,1954,49669.2,866,2437.71,456,3403.72,0,0.0,1322,5841.43
