,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
268,Durania,Norte de Santander,414,1653009,137,623207,31,234585,582,2510801,-234585,-31
269,Gramalote,Norte de Santander,581,984067,201,626324,45,241284,827,1851675,-241284,-45
270,Ocaña,Norte de Santander,1447,3958811,355,3362253,26,102527,1828,7423591,-102527,-26
271,Pamplona.,Norte de Santander,1237,2994298,331,1859202,47,179417,1615,5032917,-179417,-47
272,Salazar de las Palmat,Norte de Santander,307,507677,101,411800,27,125584,435,1045061,-125584,-27
273,Sardinata,Norte de Santander,626,1227150,161,377380,15,84522,802,1689052,-84522,-15
274,Toledo,Norte de Santander,966,1097413,278,630603,16,67844,1260,1795860,-67844,-16
275,Tunebia,Norte de Santander,160,314545,315,1119467,5,23744,480,1457756,-23744,-5
276,Bucaramanga,Santander,1825,9520301,1291,14067134,127,1435606,3243,25023041,-1435606,-127
277,Barichara,Santander,294,401665,82,219141,31,128577,407,749383,-128577,-31
278,Barrancabermeja,Santander,823,1798967,466,3695928,8,46900,1297,5541795,-46900,-8
279,Bolivar,Santander,667,1176388,346,656392,9,28780,1022,1861560,-28780,-9
280,"Cimitarra,",Santander,580,1000308,586,1967321,73,327554,1239,3295183,-327554,-73
281,Concepción,Santander,1414,2096337,254,896355,36,263365,1704,3256057,-263365,-36
282,Charala,Santander,953,1547337,288,1159241,30,199657,1271,2906235,-199657,-30
283,Gambita,Santander,482,813390,221,564833,5,88580,708,1466803,-88580,-5
284,Guopsa,Santander,699,1294696,154,839606,63,418678,916,2552980,-418678,-63
285,Lebrija,Santander,576,1441287,228,751442,18,103616,822,2296345,-103616,-18
286,Málaga,Santander,1889,2043866,331,836311,80,525693,2300,3405870,-525693,-80
287,Matanza,Santander,577,632460,160,315584,17,104810,754,1052854,-104810,-17
288,Oiba,Santander,380,760615,137,1110133,29,265489,546,2136237,-265489,-29
289,Onzaga,Santander,575,744480,145,374561,4,34000,724,1153041,-34000,-4
290,Piedecuesta.,Santander,981,1441697,123,424554,22,206282,1126,2072533,-206282,-22
291,Puente Nacional,Santander,773,1006353,511,1059337,173,876054,1457,2941744,-876054,-173
292,Puerto Wilches,Santander,676,2009806,203,1155348,4,22108,883,3187262,-22108,-4
293,Rionegro..,Santander,819,1931126,393,1736176,46,418765,1258,4086067,-418765,-46
294,Sabana de Torres,Santander,298,853666,81,407159,10,58446,389,1319271,-58446,-10
295,San Andrés,Santander,1061,1286430,754,1142387,13,97114,1828,2525931,-97114,-13
296,San Gil,Santander,1339,2400554,288,1351557,64,498894,1691,4251005,-498894,-64
297,San Vicente,Santander,894,2180342,577,2520841,82,1001220,1553,5702403,-1001220,-82
298,Socorro,Santander,673,1837850,404,4609355,65,711915,1142,7159120,-711915,-65
299,Suaita,Santander,996,1696790,459,2174553,66,632885,1521,4504228,-632885,-66
300,Sucre,Santander,529,861036,734,1687474,7,14865,1270,2563375,-14865,-7
301,Surata,Santander,205,244150,159,258608,9,62390,373,565148,-62390,-9
302,Tona,Santander,795,1304140,288,797362,27,213599,1110,2315101,-213599,-27
303,Véloz,Santander,461,893516,500,1349825,41,194558,1002,2437899,-194558,-41
304,Zapatoca..,Santander,189,418652,149,837145,35,160920,373,1416717,-160920,-35
305,Ibagué,Tolima,826,2240180,1108,8280694,322,2268007,2256,12788881,-2268007,-322
306,Alpujarra.,Tolima,150,447225,118,480384,1,8338,269,935947,-8338,-1
307,Anzoategui,Tolima,222,533140,207,797918,12,97441,441,1428499,-97441,-12
308,Armero,Tolima,230,1561033,169,1744384,52,1033362,451,4338779,-1033362,-52
309,Ataco,Tolima,240,797501,375,1023459,3,10268,618,1831228,-10268,-3
310,Cajamarca,Tolima,297,472319,173,831194,57,473397,527,1776910,-473397,-57
311,Casabianca,Tolima,347,393271,140,172874,20,73197,507,639342,-73197,-20
312,Cunday,Tolima,233,581099,417,1112080,47,394158,697,2087337,-394158,-47
313,Chaparral,Tolima,1605,3405280,3021,7861744,74,517858,4700,11784882,-517858,-74
314,Dolores,Tolima,182,396700,146,373370,6,14210,334,784280,-14210,-6
315,Es pinal,Tolima,967,3401505,314,2589058,350,4805102,1631,10795665,-4805102,-350
316,Falan,Tolima,160,164729,71,134601,26,109935,257,409265,-109935,-26
317,Fresno,Tolima,401,581951,182,490157,65,281639,648,1353747,-281639,-65
318,Guamo,Tolima,1861,3579117,335,1903702,200,1813611,2396,7296430,-1813611,-200
319,Herveo,Tolima,235,379350,173,246795,25,119148,433,745293,-119148,-25
320,Honda,Tolima,124,758899,104,1243103,22,239651,250,2241653,-239651,-22
321,Icononzo.,Tolima,668,1631202,288,878855,58,278257,1014,2788314,-278257,-58
322,Lerida,Tolima,104,659811,66,419692,8,89200,178,1168703,-89200,-8
323,Libano,Tolima,913,1709646,749,2300549,198,1430321,1860,5440516,-1430321,-198
324,Mariquita,Tolima,126,314188,26,122157,12,76874,164,513219,-76874,-12
325,Melgar,Tolima,194,643832,195,1465434,17,196530,406,2305796,-196530,-17
326,Natagaima,Tolima,648,1843330,221,1148187,12,60041,881,3051558,-60041,-12
327,"Ortega,",Tolima,570,1107597,408,1781174,8,42694,986,2931465,-42694,-8
328,Planadas..,Tolima,356,981959,765,1566234,50,348811,1171,2897004,-348811,-50
329,"Purificación,,",Tolima,1012,2908997,921,3903265,162,4151629,2095,10963891,-4151629,-162
330,Roncesvalles,Tolima,88,225332,225,740740,10,140012,323,1106084,-140012,-10
331,Rovira,Tolima,706,1280921,923,2362105,46,281265,1675,3924291,-281265,-46
332,San Antonio,Tolima,393,762099,263,992059,16,218035,672,1972193,-218035,-16
333,San Lui 8,Tolima,899,1301324,271,972540,40,451019,1210,2724883,-451019,-40
334,Santa Isabel.,Tolima,123,322982,169,599229,86,1476053,378,2398264,-1476053,-86
335,Venadillo,Tolima,285,945089,147,726133,8,45578,440,1716800,-45578,-8
336,Villahermosa,Tolima,259,376688,63,155960,14,89443,336,622091,-89443,-14
337,Villarrica,Tolima,360,1056739,554,1405703,98,413972,1012,2876414,-413972,-98
338,Cali,Valle del Cauca,863,4129829,1007,12975173,376,2087776,2246,19192778,-2087776,-376
339,Bolivar,Valle del Cauca,269,371883,187,653576,44,209540,500,1234999,-209540,-44
340,Buenaventura..,Valle del Cauca,117,272109,33,163027,2,16340,152,451476,-16340,-2
341,Buga,Valle del Cauca,534,1852497,724,6136613,180,1196499,1438,9185609,-1196499,-180
342,Caicedonia,Valle del Cauca,221,979244,123,559779,25,174710,369,1713733,-174710,-25
343,Cartago,Valle del Cauca,523,2568479,757,4755661,163,1144982,1443,8469122,-1144982,-163
344,Dagua,Valle del Cauca,332,328623,216,621824,65,566340,613,1516787,-566340,-65
345,El Aguila,Valle del Cauca,101,271375,92,258267,13,259789,206,789431,-259789,-13
346,EI Cairo..,Valle del Cauca,324,924799,241,625548,33,381524,598,1931871,-381524,-33
347,El Cerrito,Valle del Cauca,274,426224,158,1324734,142,470022,574,2220980,-470022,-142
348,Palmira,Valle del Cauca,520,1965169,510,6514264,280,897218,1310,9376651,-897218,-280
349,Restrepo..,Valle del Cauca,234,316482,100,333387,24,76430,358,726299,-76430,-24
350,Roldanillo,Valle del Cauca,379,606106,224,1422217,66,180386,669,2208709,-180386,-66
351,Sevilla,Valle del Cauca,390,1195202,409,2271242,119,1232530,918,4698974,-1232530,-119
352,Tuluá,Valle del Cauca,419,1253194,546,3614081,226,1057645,1191,5924920,-1057645,-226
353,Trujillo,Valle del Cauca,207,719688,1450,562430,73,436350,425,1718468,-436350,1232
354,Versalles,Valle del Cauca,437,728700,274,688554,50,300656,761,1717910,-300656,-50
355,Zarzal,Valle del Cauca,133,537342,179,1875771,36,157139,348,2570252,-157139,-36
356,Arauca,Arauca,71,295520,755,1838529,0,0,826,2134049,0,0
357,Puerto Rondón,Arauca,9,41423,143,327170,0,0,152,368593,0,0
358,Tame,Arauca,198,852313,609,1862633,4,13900,811,2728846,-13900,-4
359,"Florencia,",Caqueta,1920,3096903,1092,5261342,213,1017269,3225,9375514,-1017269,-213
360,Belén de los Andaqufes,Caqueta,757,983029,352,1213482,72,280788,1181,2477299,-280788,-72
361,Puerto Rico ..,Caqueta,406,655115,187,882097,36,124442,629,1661654,-124442,-36
362,San Vicente del Caguán,Caqueta,393,1253691,351,1166977,51,173312,795,2593980,-173312,-51
363,Solano,Caqueta,325,657062,247,724694,1,8000,573,1389756,-8000,-1
364,Riohacha,Guajira,297,684856,162,1007402,75,332347,534,2024605,-332347,-75
365,Barrancas,Guajira,310,819866,175,1015707,20,69645,505,1905218,-69645,-20
366,Fonseca,Guajira,406,1423058,189,1219623,17,82206,612,2724887,-82206,-17
367,San Juan del Cesar,Guajira,529,2958559,472,3886423,4,30660,1005,6875642,-30660,-4
368,Villanueva,Guajira,692,2316316,317,2487392,47,467379,1056,5271087,-467379,-47
369,San Andrés,San Andres y Providencia,87,121380,11,50529,0,0,98,171909,0,0
370,Leticia,Amazonas,141,418873,54,190912,0,0,195,609785,0,0
371,Mocoa,Putumayo,191,171993,387,568956,9,32278,587,773227,-32278,-9
372,Puerto Aere,Putumayo,96,95640,176,328292,2,3464,274,427396,-3464,-2
373,Sibundoy,Putumayo,159,417124,368,1009973,67,414580,594,1841677,-414580,-67
374,Mitû,Vaupes,42,251120,1,5670,0,0,43,256790,0,0
375,Puerto Carreño,Vichada,32,88539,20,90139,0,0,52,178678,0,0
