,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
122,la plata,huila,1954,578,49786995,356,70898440,0,0,934,120685435
123,palermo,huila,1954,450,58318000,187,31847222,0,0,637,90165222
124,pitalito,huila,1954,893,84915897,211,46538424,0,0,1104,131454321
125,san agustin,huila,1954,308,38604000,72,21373100,0,0,380,59977100
126,yaguara,huila,1954,397,89561509,122,49964817,0,0,519,139526326
127,santa marta,magdalena,1954,597,106656691,209,112573241,0,0,806,219229932
128,chiriguana,magdalena,1954,303,45910243,312,97129912,0,0,615,143040155
129,el banco,magdalena,1954,190,58790778,445,128580000,0,0,635,187370778
130,fundacion,magdalena,1954,460,159511447,480,254443448,0,0,940,413954895
131,plato,magdalena,1954,276,62611845,530,196030130,0,0,806,258641975
132,valledupar,magdalena,1954,1182,290871986,846,335126991,0,0,2028,625998977
133,pasto,nariño,1954,1733,163626874,1246,272818741,0,0,2979,436445615
134,ipiales,nariño,1954,778,103208691,256,64513380,0,0,1034,167722071
135,la cruz,nariño,1954,1179,153380000,152,46653750,0,0,1331,200033750
136,la union,nariño,1954,975,109453494,305,60296132,0,0,1280,169749626
137,mocoa,putumayo,1954,184,8587500,441,46625749,0,0,625,55213249
138,samaniego,nariño,1954,533,43874170,162,23359545,0,0,695,67233715
139,sandona,nariño,1954,545,48314700,168,22404700,0,0,713,70719400
140,tuquerres,nariño,1954,633,55406438,167,39051029,0,0,800,94457467
141,cucuta,norte de santander,1954,842,269207000,319,211176822,0,0,1161,480383822
142,arboledas,norte de santander,1954,378,34599500,36,2692100,0,0,414,37291600
143,cachira,norte de santander,1954,551,42332000,198,27143250,0,0,749,69475250
144,convencion,norte de santander,1954,681,94176331,329,151541973,0,0,1010,245718304
145,chinacota,norte de santander,1954,343,43072135,123,28951109,0,0,466,72023244
146,ocaña,norte de santander,1954,668,142398786,432,238491779,0,0,1100,380890565
147,pamplona,norte de santander,1954,853,111376000,420,107711461,0,0,1273,219087461
148,salazar,norte de santander,1954,390,54148000,114,23891900,0,0,504,78039900
149,sardinata,norte de santander,1954,415,64964000,87,11844050,0,0,502,76808050
150,toledo,norte de santander,1954,801,69895500,238,27206833,0,0,1039,97102333
151,gramalote,norte de santander,1954,274,35362000,60,9524973,0,0,334,44886973
152,bucaramanga,santander,1954,1239,184394837,707,253762861,0,0,1946,438157698
153,barrancabermeja,santander,1954,29,5750000,43,29100000,0,0,72,34850000
154,charala,santander,1954,1085,104610286,623,106861061,0,0,1708,211471347
155,malaga,santander,1954,1887,151615309,151,28400516,0,0,2038,180015825
156,matanza,santander,1954,533,36612000,173,19747725,0,0,706,56359725
157,puente nacional,santander,1954,551,46597774,847,110191841,0,0,1398,156789615
158,rionegro,santander,1954,347,48049800,170,23589060,0,0,517,71638860
159,san andres,santander,1954,1056,85307691,337,37026950,0,0,1393,122334641
160,san gil,santander,1954,1306,150782200,283,78260632,0,0,1589,229042832
161,san vicente,santander,1954,308,47904587,130,59457500,0,0,438,107362087
162,socorro,santander,1954,997,121630035,307,135448098,0,0,1304,257078133
163,surata,santander,1954,230,17151500,121,14635500,0,0,351,31787000
164,velez,santander,1954,562,53786349,358,83533602,0,0,920,137319951
165,zapatoca,santander,1954,206,20666000,105,28827000,0,0,311,49493000
166,piedecuesta,santander,1954,566,33836000,133,17324845,0,0,699,51160845
167,ibague,tolima,1954,1247,236430920,741,347367971,0,0,1988,583798891
168,armero,tolima,1954,496,128921323,300,159242530,0,0,796,288163853
169,ataco,tolima,1954,176,25039500,10,3125000,0,0,186,28164500
170,chaparral,tolima,1954,560,74038024,331,61027612,0,0,891,135065636
171,dolores,tolima,1954,199,29411258,96,30264265,0,0,295,59675523
172,espinal,tolima,1954,763,84105642,206,85064125,0,0,969,169169767
173,el guamo,tolima,1954,808,79274000,175,66248689,0,0,983,145522689
174,fresno,tolima,1954,1028,105689926,253,75560178,0,0,1281,181250104
175,herveo,tolima,1954,178,12593000,49,6825202,0,0,227,19418202
