,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
193,caicedonia,valle del cauca,1960,236,1078349,134,598541,21,133063,391,1809953,0,0
194,cartago,valle del cauca,1960,668,3045460,806,4725099,142,940594,1616,8711153,0,0
195,dagua,valle del cauca,1960,343,342482,238,725959,62,473244,643,1541685,0,0
196,ei aguila,valle del cauca,1960,120,326687,56,164150,5,27625,181,518462,0,0
197,el cairo,valle del cauca,1960,319,777419,278,689516,27,167999,624,1634934,0,0
198,el cerrito,valle del cauca,1960,307,485520,158,1304596,147,532707,612,2322823,0,0
199,palmira,valle del cauca,1960,627,1837199,487,6556168,300,956015,1414,9349382,0,0
200,restrepo,valle del cauca,1960,237,314964,116,403995,28,110205,381,829164,0,0
201,roldanillo,valle del cauca,1960,404,638487,213,1230900,66,162873,683,2032260,0,0
202,sevilla,valle del cauca,1960,418,1182499,405,2257354,89,729624,912,4169477,0,0
203,tulua,valle del cauca,1960,486,1194515,498,3456732,219,1035074,1203,5686321,0,0
204,trujillo,valle del cauca,1960,197,667078,142,544449,85,461292,424,1672819,0,0
205,versalles,valle del cauca,1960,496,769465,222,592173,46,299020,764,1660658,0,0
206,zarzal,valle del cauca,1960,159,444355,173,1519902,35,157367,367,2121624,0,0
207,arauca,arauca,1960,79,217524,738,1645886,0,0,817,1863410,0,0
208,tame,arauca,1960,265,1157508,681,1937802,4,13900,950,3109210,0,0
209,florencia,caqueta,1960,908,1688072,643,3034623,109,470342,166,5193037,0,1494
210,belen de los andaquies,caqueta,1960,284,443673,195,754196,23,80426,502,1278295,0,0
211,puerto rico,caqueta,1960,235,418868,337,1333889,44,153441,616,1906198,0,0
212,san vicente del caguän,caqueta,1960,314,881006,268,930638,46,166457,628,1978101,0,0
213,solano,caqueta,1960,185,355810,157,516706,0,0,342,872516,0,0
214,riobacha,guajira,1960,342,818387,126,689331,75,343295,543,1851013,0,0
215,barrancas,guajira,1960,312,573280,126,492734,20,75154,458,1141168,0,0
216,fonseca,guajira,1960,382,1226443,159,944047,18,89259,559,2259749,0,0
217,san juan del cesar,guajira,1960,493,2411976,333,2782706,4,36270,830,5230952,0,0
218,villanueva,guajira,1960,522,1459088,260,1777076,38,207712,820,3443876,0,0
219,san andres y prov,san andres y providencia,1960,102,141129,14,61587,0,0,116,202716,0,0
220,leticia,amazonas,1960,98,312141,63,206044,0,0,161,518185,0,0
221,mitu,vaupes,1960,174,937857,1,2915,0,0,175,940772,0,0
222,puerto carreño,vichada,1960,27,55383,14,43402,0,0,41,98785,0,0
223,mocoa,putumayo,1960,312,294232,496,664276,9,34033,817,992541,0,0
224,sibundoy,putumayo,1960,118,291783,302,914794,60,272849,480,1479426,0,0
