,Cod Dep,Cod Mun,id,Unnamed: 0,Unnamed: 0.1,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
65,18,18001,caquetaflorencia,175,175,florencia,caqueta,1952,1054,73933017.0,298,95063676.0,0,0.0,1352,168996693.0
66,19,19100,caucabolivar,65,65,bolivar,cauca,1952,354,28483030.0,216,29890579.0,0,0.0,570,58373609.0
67,19,19256,caucael tambo,68,68,el tambo,cauca,1952,540,24240600.0,57,9198836.0,0,0.0,597,33439438.0
68,19,19001,caucapopayan,64,64,popayan,cauca,1952,2122,194483622.0,417,170239367.0,0,0.0,2539,364722989.0
69,19,19573,caucapuerto tejada,66,66,puerto tejada,cauca,1952,550,47823697.0,103,39726625.0,0,0.0,653,87550322.0
70,19,19698,caucasantander,67,67,santander,cauca,1952,723,61719139.0,199,45789135.0,0,0.0,922,107508274.0
71,23,23068,cordobaayapel,70,70,ayapel,cordoba,1952,203,30300533.0,164,62426701.0,0,0.0,367,92721234.0
72,23,23162,cordobacerete,73,73,cerete,cordoba,1952,583,100020138.0,264,85201868.0,0,0.0,847,185222006.0
73,23,23417,cordobalorica,71,71,lorica,cordoba,1952,1543,121393257.0,178,77226882.0,0,0.0,1721,198620139.0
74,23,23001,cordobamonteria,69,69,monteria,cordoba,1952,689,128304566.0,176,111701211.0,0,0.0,865,240005779.0
75,23,23660,cordobasahagun,72,72,sahagun,cordoba,1952,549,40737713.0,458,129671148.0,0,0.0,1007,170408861.0
76,23,23807,cordobatierralta,74,74,tierralta,cordoba,1952,92,12791685.0,22,7387500.0,0,0.0,114,20179185.0
77,25,25040,cundinamarcaanolaima,76,76,anolaima,cundinamarca,1952,603,71029000.0,18,7537857.0,0,0.0,621,78566867.0
78,25,25053,cundinamarcaarbelaez,97,97,arbelaez,cundinamarca,1952,575,45631000.0,53,21007077.0,0,0.0,628,66638077.0
79,25,11001,cundinamarcabogota,75,75,bogota,cundinamarca,1952,1184,360145555.0,736,466690568.0,0,0.0,1920,826836123.0
80,25,25175,cundinamarcachia,91,91,chia,cundinamarca,1952,119,14464400.0,26,7077286.0,0,0.0,145,21541688.0
81,25,25183,cundinamarcachoconta,77,77,choconta,cundinamarca,1952,1095,82057365.0,141,31353144.0,0,0.0,1236,113410509.0
82,25,25269,cundinamarcafacatativa,78,78,facatativa,cundinamarca,1952,1182,176340088.0,106,53997013.0,0,0.0,1288,230337101.0
83,25,25279,cundinamarcafomeque,92,92,fomeque,cundinamarca,1952,459,32491758.0,112,17942899.0,0,0.0,571,50434657.0
84,25,25290,cundinamarcafusagasuga,79,79,fusagasuga,cundinamarca,1952,1133,102117830.0,101,32436841.0,0,0.0,1234,133654671.0
85,25,25297,cundinamarcagacheta,80,80,gacheta,cundinamarca,1952,2017,131748488.0,212,35614035.0,0,0.0,2229,167362523.0
86,25,25307,cundinamarcagirardot,81,81,girardot,cundinamarca,1952,829,203121400.0,151,87047262.0,0,0.0,980,290168662.0
87,25,25322,cundinamarcaguasca,95,95,guasca,cundinamarca,1952,177,19843000.0,4,942100.0,0,0.0,181,20785100.0
88,25,25326,cundinamarcaguatavita,82,82,guatavita,cundinamarca,1952,264,33999800.0,13,5559000.0,0,0.0,277,39558800.0
89,25,25377,cundinamarcala calera,94,94,la calera,cundinamarca,1952,195,17979250.0,51,21259959.0,0,0.0,246,39239209.0
90,25,25386,cundinamarcala mesa,83,83,la mesa,cundinamarca,1952,1348,111748157.0,55,22457593.0,0,0.0,1405,134205750.0
91,25,25394,cundinamarcala palma,84,84,la palma,cundinamarca,1952,625,36759809.0,67,16666394.0,0,0.0,692,53426203.0
92,25,25398,cundinamarcala peña,98,98,la peña,cundinamarca,1952,229,15586500.0,32,7629000.0,0,0.0,261,23215500.0
93,25,25513,cundinamarcapacho,85,85,pacho,cundinamarca,1952,800,69865423.0,74,33814556.0,0,0.0,874,103679979.0
94,25,25662,cundinamarcasan juan de rioseco,96,96,san juan de rioseco,cundinamarca,1952,563,96131200.0,29,18744832.0,0,0.0,592,114876032.0
95,25,25718,cundinamarcasasaima,86,86,sasaima,cundinamarca,1952,310,27879826.0,44,15471157.0,0,0.0,354,43350983.0
96,25,25754,cundinamarcasoacha,87,87,soacha,cundinamarca,1952,451,64467100.0,28,8331900.0,0,0.0,479,72799000.0
97,25,25758,cundinamarcasopo,88,88,sopo,cundinamarca,1952,131,19652500.0,12,7272612.0,0,0.0,143,26925112.0
98,25,25843,cundinamarcaubate,89,89,ubate,cundinamarca,1952,1166,103769990.0,156,76455032.0,0,0.0,1322,180225022.0
99,25,25845,cundinamarcaune,90,90,une,cundinamarca,1952,944,71094723.0,154,24110135.0,0,0.0,1098,95204858.0
100,25,25862,cundinamarcavergara,99,99,vergara,cundinamarca,1952,276,29139772.0,3,775000.0,0,0.0,279,29914772.0
101,25,25875,cundinamarcavilleta,93,93,villeta,cundinamarca,1952,269,29824500.0,21,8453500.0,0,0.0,290,38278000.0
102,25,25899,cundinamarcazipaquira,100,100,zipaquira,cundinamarca,1952,395,48573563.0,84,35862060.0,0,0.0,479,84435623.0
103,41,41006,huilaacevedo,108,108,acevedo,huila,1952,532,25445000.0,38,6380727.0,0,0.0,570,31825727.0
