,Cod Dep,Cod Mun,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
43,15,15407,leiva,boyaca,1954,1084,69934685.2881356,177,46468546.27118645,0,0.0,1261,116403231.55932204
44,15,15455,miraflores,boyaca,1954,709,69377951.13559322,1231,84973940.44067797,0,0.0,1940,154351891.5762712
45,15,15469,moniquira,boyaca,1954,1639,100799443.5762712,233,50341216.57627119,0,0.0,1872,151140660.15254238
46,15,15531,pauna,boyaca,1954,860,62263652.54237289,172,23853451.16949153,0,0.0,1032,86117103.71186441
47,15,15542,pesca,boyaca,1954,1484,83712223.77966103,101,17516858.491525427,0,0.0,1585,101229082.27118646
48,15,15755,puebloviejo,boyaca,1954,1004,51854033.89830509,25,3169822.8813559324,0,0.0,1029,55023856.77966102
49,15,15599,ramiriqui,boyaca,1954,1154,73530133.42372882,512,39723320.84745763,0,0.0,1666,114117861.05084749
50,15,15667,san luis de gaceno,boyaca,1954,212,28042220.33898305,460,34829835.40677966,0,0.0,672,62872055.74576272
51,15,85325,san luis de palenque,boyaca,1954,108,38841158.2881356,456,92939109.20338984,0,0.0,564,131780267.49152544
52,15,15753,soata,boyaca,1954,1871,148449078.9661017,181,22985591.949152544,0,0.0,2052,171434670.9152543
53,15,15757,socha,boyaca,1954,896,59316889.83050848,270,37450807.525423735,0,0.0,1166,96767697.3559322
54,15,15759,sogamoso,boyaca,1954,2890,205296069.9152543,281,74125672.52542374,0,0.0,3171,279421742.440678
55,15,85400,tamara,boyaca,1954,205,26741288.135593224,305,52884406.77966102,0,0.0,510,79625694.91525425
56,15,15001,tunja,boyaca,1954,2831,367178959.4745763,569,160158025.4745763,0,0.0,3400,527336984.9491526
57,15,15861,ventaquemada,boyaca,1954,708,67790251.98305085,96,10823042.796610173,0,0.0,804,78613294.77966103
58,15,85001,yopal,boyaca,1954,212,53655098.03389831,1100,113083388.2881356,0,0.0,1312,166738486.3220339
59,17,17013,aguadas,caldas,1954,796,93057711.8644068,136,34981926.91525424,0,0.0,932,128039638.77966104
60,17,17042,anserma,caldas,1954,722,86965632.20338984,142,26011296.610169493,0,0.0,864,112976928.81355934
61,17,66045,apia,caldas,1954,526,81770115.2542373,265,30222686.44067797,0,0.0,791,111992801.69491526
62,17,17050,aranzazu,caldas,1954,441,41969423.084745765,145,25133686.881355934,0,0.0,586,67103109.9661017
63,17,63001,armenia,caldas,1954,1053,203403300.00000003,425,140137034.13559324,0,0.0,1478,343540334.13559324
64,17,17088,belalcazar,caldas,1954,264,57569923.728813566,38,12736385.59322034,0,0.0,302,70306309.32203391
65,17,63130,calarca,caldas,1954,463,106754496.6101695,214,48153508.47457628,0,0.0,677,154908005.08474576
66,17,63272,filandia,caldas,1954,355,34070420.33898305,138,13953124.576271188,0,0.0,493,48023544.91525424
67,17,17380,la dorada,caldas,1954,293,88684271.69491526,333,182563962.66101697,0,0.0,626,271248234.35593224
68,17,17001,manizales,caldas,1954,754,167697929.44067797,258,175999450.1186441,0,0.0,1012,343697379.55932206
69,17,17433,manzanares,caldas,1954,1016,113157563.8983051,185,33533916.762711868,0,0.0,1201,146691480.66101697
70,17,66440,marsella,caldas,1954,314,46194762.71186441,123,13097059.3220339,0,0.0,437,59291822.03389831
71,17,17541,pensilvania,caldas,1954,932,97377411.8644068,304,29806521.25423729,0,0.0,1235,127183933.11864407
72,17,66001,pereira,caldas,1954,574,114586723.9322034,334,179351285.94915256,0,0.0,908,293938009.88135594
73,17,63548,pijao,caldas,1954,120,33928398.30508475,61,24073037.2881356,0,0.0,181,58001435.593220346
74,17,17614,riosucio,caldas,1954,1549,71541473.13559322,139,30553352.2881356,0,0.0,1688,102094825.42372882
75,17,17653,salamina,caldas,1954,526,47405191.525423735,329,61444009.06779662,0,0.0,855,108849200.59322035
76,17,66682,santa rosa de cabal,caldas,1954,563,57454266.10169492,427,77355760.11864407,0,0.0,990,134810026.220339
77,17,66687,santuario,caldas,1954,393,65045745.76271187,171,33247532.74576272,0,0.0,564,98293278.5084746
78,18,18001,florencia,caqueta,1954,1267,110685083.03389832,480,119106853.06779662,0,0.0,1747,229791936.1016949
79,19,19100,bolivar,cauca,1954,926,96975635.59322035,281,37061527.98305085,0,0.0,1207,134037163.5762712
80,19,19142,caloto,cauca,1954,467,57786042.71186441,190,39422520.254237294,0,0.0,657,97208562.9661017
81,19,19256,el tambo,cauca,1954,775,35094483.05084746,153,17554345.220338985,0,0.0,928,52648828.27118645
82,19,19001,popayan,cauca,1954,1899,191593758.1525424,371,187026406.4745763,0,0.0,2270,378620164.6271187
83,19,19573,puerto tejada,cauca,1954,336,29200957.627118647,83,36655500.55932204,0,0.0,419,65857322.593220346
84,19,19698,santander,cauca,1954,816,53572681.16949153,180,36397616.89830509,0,0.0,996,89970298.06779662
85,27,27001,quibdo,choco,1954,317,8321026.0169491535,41,4942696.983050848,0,0.0,358,13263723.000000002
86,23,23068,ayapel,cordoba,1954,402,71042293.77966103,296,124014642.7118644,0,0.0,698,195056936.49152544
87,23,23162,cerete,cordoba,1954,409,89112127.11864407,268,100874110.16949151,0,0.0,677,189986237.2881356
88,23,23417,lorica,cordoba,1954,1361,127177740.5084746,318,124623816.10169493,0,0.0,1679,251801556.61016956
89,23,23001,monteria,cordoba,1954,606,109103195.2881356,231,136233219.2542373,0,0.0,837,245336414.5423729
90,23,23660,sahagun,cordoba,1954,541,42902280.50847458,430,130614009.8644068,0,0.0,971,173516290.37288138
91,23,23807,tierralta,cordoba,1954,275,31260130.16949153,70,22895542.37288136,0,0.0,345,54155672.54237289
92,25,25040,anolaima,cundinamarca,1954,840,95961310.42372882,297,54070728.152542375,0,0.0,1137,150032038.5762712
93,25,25053,arbelaez,cundinamarca,1954,709,68508461.64406781,147,36783874.47457627,0,0.0,856,105292336.11864407
94,25,11001,bogota,cundinamarca,1954,1426,531018979.2203391,1064,809286139.5762713,0,0.0,2490,1340305118.7966104
95,25,25151,caqueza,cundinamarca,1954,743,72744325.42372882,74,8965384.220338983,0,0.0,817,81709709.64406781
96,25,25175,chia,cundinamarca,1954,199,27481479.661016952,80,20654878.11864407,0,0.0,279,48136357.77966102
97,25,25183,choconta,cundinamarca,1954,1976,166202689.8305085,96,26472640.881355934,0,0.0,2072,192675330.7118644
98,25,25269,facatativa,cundinamarca,1954,1097,152632346.1864407,181,68518613.23728815,0,0.0,1278,221150959.4237288
99,25,25279,fomeque,cundinamarca,1954,548,48647516.949152544,320,44883372.91525424,0,0.0,868,93530889.8644068
100,25,25290,fusagasuga,cundinamarca,1954,974,86671619.79661018,583,78958812.8644068,0,0.0,1557,165630432.66101697
101,25,25293,gachala,cundinamarca,1954,501,42084134.18644069,87,14481418.016949154,0,0.0,588,56565552.20338984
102,25,25297,gacheta,cundinamarca,1954,1619,114405296.18644068,199,23691550.37288136,0,0.0,1818,138096846.55932206
103,25,25307,girardot,cundinamarca,1954,670,107374026.45762712,195,128869596.35593222,0,0.0,865,236243622.81355932
104,25,25322,guasca,cundinamarca,1954,221,24267355.932203397,48,10599205.52542373,0,0.0,269,34866561.457627125
105,25,25326,guatavita,cundinamarca,1954,432,44400902.54237288,77,14684194.016949154,0,0.0,509,59085096.55932204
106,25,25377,la calera,cundinamarca,1954,262,28372769.491525427,130,34226466.50847458,0,0.0,392,62599236.00000001
107,25,25386,la mesa,cundinamarca,1954,1299,106350415.83050849,201,71116608.55932204,0,0.0,1500,177467024.38983053
108,25,25394,la palma,cundinamarca,1954,666,41141897.084745765,151,34009217.74576271,0,0.0,817,75151114.83050849
109,25,25398,la peña,cundinamarca,1954,243,15400703.38983051,46,11954745.762711866,0,0.0,289,27355449.15254237
110,25,25438,medina,cundinamarca,1954,196,33008808.661016952,641,38075010.355932206,0,0.0,837,71083819.01694916
111,25,25513,pacho,cundinamarca,1954,1121,108405755.59322035,184,65020138.57627119,0,0.0,1305,173425894.16949153
112,25,25662,san juan de rioseco,cundinamarca,1954,850,118041620.38983051,104,34367661.30508475,0,0.0,954,152409281.69491526
113,25,25718,sasaima,cundinamarca,1954,280,23624186.2881356,137,23011317.55932204,0,0.0,417,46635071.6440678
114,25,25754,soacha,cundinamarca,1954,600,98614106.5423729,90,24409522.3220339,0,0.0,690,123023628.8644068
115,25,25758,sopo,cundinamarca,1954,145,21028286.2881356,53,11448537.91525424,0,0.0,198,32476824.203389835
116,25,25843,ubate,cundinamarca,1954,1127,122329183.47457628,219,64922298.9661017,0,0.0,1346,187251482.440678
117,25,25845,une,cundinamarca,1954,875,79117663.16949153,132,20042074.220338985,0,0.0,1007,99159737.38983051
