,index,Unnamed: 0,Cod Dep,cod_mpio,Oficina,Poblacion,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
102,102,102,25,25899,zipaquira,16605.12,cundinamarca,1952,395,2925.22,84,2159.7,0,0.0,479,5084.91
103,103,103,41,41006,acevedo,1093.04,huila,1952,532,23279.11,38,5837.6,0,0.0,570,29116.71
104,104,104,41,41078,baraya,5469.0,huila,1952,158,3997.14,50,1961.6,0,0.0,208,5958.74
105,105,105,41,41298,garzon,14018.74,huila,1952,915,5222.68,301,4859.95,0,0.0,1216,10082.63
106,106,106,41,41396,la plata,9600.02,huila,1952,389,2869.58,235,3930.75,0,0.0,624,6800.33
107,107,107,41,41001,neiva,40811.87,huila,1952,914,3767.18,251,2532.46,0,0.0,1165,6299.64
108,108,108,41,41524,palermo,6170.84,huila,1952,217,4417.96,38,1610.72,0,0.0,255,6028.68
109,109,109,41,41551,pitalito,15231.89,huila,1952,915,4680.43,116,1598.88,0,0.0,1031,6279.32
110,110,110,41,41668,san agustin,4036.59,huila,1952,268,7034.77,50,4547.77,0,0.0,318,11582.55
111,111,111,41,41885,yaguara,2715.42,huila,1952,288,21533.76,72,7260.22,0,0.0,360,28793.98
112,112,112,47,20178,chiriguana,4213.31,magdalena,1952,215,3173.8,253,10577.14,0,0.0,468,13750.94
113,113,113,47,47245,el banco,18975.59,magdalena,1952,188,1907.0,504,6639.7,0,0.0,692,8546.7
114,114,114,47,47288,fundacion,4020.32,magdalena,1952,202,16414.03,333,44731.75,0,0.0,535,61145.78
115,115,115,47,47555,plato,10670.56,magdalena,1952,315,4640.52,641,18221.54,0,0.0,956,22862.06
116,116,116,47,44001,riohacha,7332.81,magdalena,1952,46,406.38,67,2088.15,0,0.0,113,2494.53
117,117,117,47,44650,san juan del cesar,8444.07,magdalena,1952,237,4550.35,324,9754.24,0,0.0,561,14303.4
118,118,118,47,47001,santa marta,39209.75,magdalena,1952,390,1998.7,155,1723.38,0,0.0,545,3722.08
119,119,119,47,20001,valledupar,15056.8,magdalena,1952,464,6153.34,530,12657.09,0,0.0,994,18810.43
120,120,120,47,44874,villanueva,5199.49,magdalena,1952,281,7172.09,189,8919.75,0,0.0,470,16091.85
121,121,121,50,50001,villavicencio,12796.54,meta,1952,860,10750.65,149,4239.51,0,0.0,1009,14990.17
122,122,122,52,52356,ipiales,23234.79,nariño,1952,756,3397.75,250,1995.44,0,0.0,1006,5393.18
123,123,123,52,52378,la cruz,8307.09,nariño,1952,818,9562.25,146,3522.65,0,0.0,964,13084.91
124,124,124,52,52399,la union,10051.03,nariño,1952,849,7020.33,297,4886.45,0,0.0,1146,11906.78
125,125,125,52,52001,pasto,61988.36,nariño,1952,1466,1853.24,1121,4024.67,0,0.0,2587,5877.91
126,126,126,52,52678,samaniego,12130.3,nariño,1952,268,1297.43,90,852.33,0,0.0,358,2149.76
127,127,127,52,52683,sandona,10296.35,nariño,1952,215,1465.28,43,748.17,0,0.0,258,2213.44
128,128,128,52,52838,tuquerres,13627.91,nariño,1952,665,3398.47,394,4098.1,0,0.0,1059,7496.58
129,129,129,54,54128,cachira,7189.94,norte de santander,1952,298,2843.14,85,2314.07,0,0.0,383,5157.21
130,130,130,54,54172,chinacota,9182.66,norte de santander,1952,292,3681.6,82,2142.93,0,0.0,374,5824.52
131,131,131,54,54001,cucuta,68924.41,norte de santander,1952,886,2954.58,276,2426.48,0,0.0,1162,5381.06
132,132,132,54,54498,ocaña,32949.39,norte de santander,1952,1156,4096.49,397,5443.01,0,0.0,1553,9539.5
133,133,133,54,54518,pamplona,22256.25,norte de santander,1952,821,3189.39,328,3092.11,0,0.0,1149,6281.5
134,134,134,54,54660,salazar,11982.14,norte de santander,1952,672,5492.56,207,1736.91,0,0.0,879,7229.47
135,135,135,54,54720,sardinata,12209.1,norte de santander,1952,507,5410.05,40,789.78,0,0.0,547,6199.83
136,136,136,54,54820,toledo,11064.71,norte de santander,1952,463,3449.8,97,1630.2,0,0.0,560,5080.0
137,137,137,86,86001,mocoa,2159.47,putumayo,1952,81,2109.31,91,6556.7,0,0.0,172,8666.02
138,138,138,88,88001,san andres,2898.74,san andres y providencia,1952,78,1009.47,4,134.54,0,0.0,82,1144.01
139,139,139,68,68001,bucaramanga,93575.56,santander,1952,1338,1661.54,343,1611.05,0,0.0,1681,3272.59
140,140,140,68,68167,charala,10307.35,santander,1952,735,6676.26,171,3785.16,0,0.0,906,10461.43
141,141,141,68,68432,malaga,12435.51,santander,1952,1374,7101.44,29,682.99,0,0.0,1403,7784.43
142,142,142,68,68444,matanza,6948.41,santander,1952,426,3351.48,44,1251.17,0,0.0,470,4602.65
143,143,143,68,68572,puente nacional,13967.97,santander,1952,444,1946.68,463,4161.04,0,0.0,907,6107.73
144,144,144,68,68615,rionegro,17959.57,santander,1952,293,2113.42,71,760.03,0,0.0,364,2873.45
145,145,145,68,68669,san andres,16150.57,santander,1952,540,2156.43,115,1455.37,0,0.0,655,3611.79
146,146,146,68,68679,san gil,17723.82,santander,1952,837,5150.51,128,2453.91,0,0.0,965,7604.42
147,147,147,68,68689,san vicente,43555.96,santander,1952,355,1018.42,175,1421.72,0,0.0,530,2440.14
148,148,148,68,68755,socorro,10794.82,santander,1952,1007,10469.59,285,10420.62,0,0.0,1292,20890.21
149,149,149,68,68780,surata,4998.4,santander,1952,139,1657.13,24,754.64,0,0.0,163,2411.77
150,150,150,68,68861,velez,11966.05,santander,1952,640,3915.4,170,2791.74,0,0.0,810,6707.14
151,151,151,73,73055,armero,18880.12,tolima,1952,488,6984.7,204,4361.26,0,0.0,692,11345.95
152,152,152,73,73168,chaparral,12040.71,tolima,1952,269,2341.1,76,2502.2,0,0.0,345,4843.3
153,153,153,73,73319,el guamo,19202.15,tolima,1952,842,3812.93,132,3303.48,0,0.0,974,7116.42
154,154,154,73,73268,espinal,27050.75,tolima,1952,834,3271.78,120,1937.13,0,0.0,954,5208.91
155,155,155,73,73283,fresno,17006.69,tolima,1952,630,2997.96,93,1857.43,0,0.0,723,4855.39
156,156,156,73,73347,herveo,8916.57,tolima,1952,164,1578.86,22,522.12,0,0.0,186,2100.98
157,157,157,73,73349,honda,13901.57,tolima,1952,556,5073.88,140,4075.29,0,0.0,696,9149.17
158,158,158,73,73001,ibague,87070.33,tolima,1952,1797,3781.46,864,3813.96,0,0.0,2661,7595.42
159,159,159,73,73352,icononzo,6850.29,tolima,1952,578,7980.49,82,2949.56,0,0.0,660,10930.05
160,160,160,73,73411,libano,23066.49,tolima,1952,676,3511.46,201,2013.05,0,0.0,877,5524.51
161,161,161,73,73504,ortega,21191.25,tolima,1952,501,2687.34,131,1376.68,0,0.0,632,4064.01
162,162,162,73,73585,purificacion,12791.92,tolima,1952,883,11026.3,472,10062.39,0,0.0,1355,21088.7
